


.DATE		Jul. 93
.STYLE		PRINTED
.WRITER_ID	ktum
	65 4
.PEN_UP
.PEN_DOWN
	18 13
	21 15
	24 17
	27 18
	30 21
	33 24
	36 26
	37 29
	40 32
	42 35
	44 38
	46 41
	48 45
	49 48
	51 51
	52 54
	53 57
	54 60
	54 63
	53 66
	50 66
	47 64
	44 61
	42 58
	40 55
	39 51
	37 47
	36 44
	36 41
	34 37
	32 33
	30 29
	28 25
	26 21
	24 18
	24 15
	24 12
	24 9
	24 6
	27 4
	29 1
	32 0
	35 2
	38 6
	40 9
	40 12
	37 14
	37 17
	40 18
	43 19
	46 19
	49 18
	52 18
	53 18
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 32
	59 35
	56 37
	53 38
	49 37
	46 37
	43 35
	41 32
	39 29
	39 26
	37 23
	34 20
	31 16
	29 13
	28 10
	28 6
	29 3
	31 0
	35 1
	38 3
	41 5
	44 7
	48 11
	49 14
	52 17
	54 20
	57 24
	57 27
	60 29
	62 32
	64 36
	67 39
	68 42
	70 45
	72 48
	75 51
	77 53
	78 56
	77 59
	77 62
	74 61
	73 58
	70 55
	68 52
	67 49
	65 46
	63 43
	61 40
	60 37
	59 34
	57 31
	57 27
	55 24
	54 21
	53 17
	52 14
	52 11
	52 8
	55 7
	58 7
	62 7
	65 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 40
	34 39
	38 39
	42 39
	45 40
	48 43
	51 45
	53 48
	57 51
	60 54
	60 57
	63 61
	65 64
	66 68
	69 72
	70 75
	72 78
	73 81
	76 83
	79 85
	81 88
	82 91
	83 94
	82 97
	79 97
	76 96
	73 95
	70 94
	67 93
	64 92
	63 88
	60 85
	59 82
	57 79
	56 76
	54 73
	53 70
	52 67
	51 64
	50 60
	48 56
	48 53
	48 49
	45 47
	45 44
	43 41
	42 37
	41 32
	39 29
	39 26
	38 23
	37 20
	36 16
	35 13
	35 10
	35 7
	35 4
	38 1
	41 0
	44 0
	47 1
	51 2
	54 4
	55 7
	56 10
	55 13
	53 16
	48 18
	45 20
	43 23
	42 26
	42 29
	45 29
	48 31
	51 33
	54 33
	58 33
	61 33
	66 33
	69 33
	72 33
	75 34
	76 34
.PEN_UP
.PEN_DOWN
	52 62
	53 65
	53 68
	52 71
	49 74
	44 73
	42 70
	39 67
	37 64
	34 62
	33 58
	30 55
	29 52
	29 49
	29 46
	30 43
	33 42
	36 42
	39 42
	42 44
	45 45
	49 48
	51 51
	54 55
	56 58
	57 61
	57 64
	58 67
	56 64
	54 61
	53 58
	52 55
	51 51
	50 48
	50 45
	49 41
	48 37
	47 33
	47 29
	45 25
	44 20
	41 18
	41 15
	39 12
	37 8
	36 5
	35 2
	32 0
	29 0
	26 1
	25 4
	26 7
	28 10
	30 13
	31 16
	33 19
	35 22
	38 22
	41 23
	44 24
	47 25
	50 25
	54 26
	57 26
	60 26
	63 28
	66 29
	69 30
	72 31
	74 33
.PEN_UP
.PEN_DOWN
	21 39
	23 42
	27 44
	30 45
	33 47
	36 50
	39 52
	42 54
	45 57
	47 60
	49 63
	50 66
	51 69
	53 73
	54 76
	55 79
	55 82
	56 85
	52 87
	49 86
	45 84
	43 81
	41 78
	39 74
	37 71
	35 67
	34 64
	32 61
	30 58
	29 55
	27 52
	27 48
	25 45
	24 42
	23 39
	22 35
	20 32
	19 29
	19 25
	18 22
	17 19
	15 15
	13 12
	13 9
	13 6
	11 3
	13 6
	15 9
	17 12
	19 16
	22 19
	25 21
	26 24
	30 27
	32 30
	35 31
	38 32
	41 35
	44 36
	47 37
	50 38
	53 39
	53 36
	52 32
	50 29
	50 26
	48 23
	48 19
	47 16
	47 13
	47 10
	48 7
	48 4
	50 1
	53 0
	56 0
	59 0
	62 0
	65 1
	70 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 30
	59 33
	59 36
	57 39
	54 39
	50 40
	46 40
	43 39
	40 36
	36 32
	34 29
	32 26
	31 23
	30 20
	29 17
	29 14
	30 11
	31 8
	32 5
	36 2
	39 1
	43 0
	46 1
	49 2
	52 4
	55 7
	59 9
	62 12
	64 15
	66 18
	68 21
	69 24
	69 27
	70 30
	69 33
	66 35
	65 38
	62 40
	59 41
	56 41
	53 38
	52 35
	52 32
	52 29
	52 26
	53 23
	54 20
	57 19
	60 18
	63 18
	67 18
	71 18
	75 18
	78 18
	81 20
	85 20
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	43 67
	44 70
	41 71
	37 71
	34 69
	30 67
	27 65
	25 62
	23 59
	21 55
	18 52
	17 49
	16 46
	14 43
	13 40
	13 36
	14 33
	17 32
	20 34
	23 35
	25 39
	28 42
	31 46
	33 50
	35 53
	37 56
	38 59
	40 62
	40 65
	41 68
	38 66
	37 63
	35 59
	33 55
	31 52
	30 49
	28 46
	27 42
	25 38
	24 34
	23 31
	23 28
	23 25
	22 22
	21 18
	20 14
	20 11
	20 8
	21 5
	22 2
	25 0
	28 0
	31 2
	34 5
	35 8
	35 11
	32 13
	29 15
	26 16
	24 19
	24 22
	25 25
	28 27
	31 29
	34 30
	38 30
	41 31
	44 32
	47 32
	49 35
	52 36
	54 37
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 41
	38 39
	40 36
	39 33
	36 30
	33 27
	30 23
	29 19
	26 17
	25 14
	24 11
	24 8
	27 6
	30 5
	34 4
	37 6
	41 8
	44 10
	48 13
	50 16
	53 17
	55 20
	58 23
	61 25
	64 27
	67 30
	69 33
	66 34
	64 31
	61 28
	59 25
	57 21
	54 18
	54 15
	53 12
	52 9
	51 6
	51 3
	53 0
	56 0
	59 1
	63 1
	66 2
	69 5
	71 8
	72 11
	75 15
	77 18
	79 21
	80 25
	81 28
	81 31
	81 34
	84 36
	87 35
	90 35
	92 32
	93 30
.PEN_UP
.PEN_DOWN
	14 40
	16 43
	20 45
	23 46
	27 46
	30 46
	33 45
	34 42
	34 38
	33 34
	32 31
	31 28
	30 25
	29 21
	28 18
	28 15
	27 12
	27 9
	28 6
	31 3
	34 2
	37 1
	40 0
	43 0
	46 1
	49 2
	51 5
	52 8
	54 11
	57 13
.PEN_UP
.PEN_DOWN
	56 51
	55 48
	52 46
	50 43
	46 40
	43 37
	40 36
	37 34
	33 30
	30 28
	27 26
	25 22
	22 20
	19 19
	17 16
	16 13
	16 9
	16 6
	17 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	34 55
	38 57
	42 59
	46 60
	49 61
	52 62
	55 60
	57 57
	57 54
	57 51
	56 47
	53 44
	51 40
	49 37
	46 35
	43 34
	40 33
	37 33
	37 36
	40 39
	43 42
	46 44
	49 44
	51 41
	51 38
	51 35
	50 32
	49 29
	49 26
	48 23
	48 20
	45 17
	44 13
	43 10
	41 6
	39 3
	36 2
	33 1
	30 0
	27 1
	26 4
	27 7
	28 10
	32 13
	34 16
	37 19
	42 20
	43 23
	46 24
	50 26
	53 28
	57 30
	63 32
	66 32
	69 34
	73 36
	76 38
	79 39
	82 40
	83 40
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 33
	54 36
	51 38
	48 39
	45 40
	42 40
	39 38
	37 35
	34 33
	31 29
	28 27
	27 23
	25 20
	25 17
	25 14
	25 10
	25 7
	25 4
	26 1
	29 1
	32 2
	35 3
	38 5
	41 8
	44 12
	47 15
	47 18
	50 22
	50 25
	53 29
	54 33
	56 36
	57 39
	59 42
	60 45
	62 50
	65 54
	67 57
	68 61
	69 64
	66 62
	63 58
	62 55
	61 52
	60 48
	59 45
	58 42
	57 39
	56 36
	55 33
	53 29
	53 26
	52 23
	51 20
	51 17
	51 14
	51 11
	52 8
	53 5
	56 4
	59 2
	63 0
.PEN_UP
.PEN_DOWN
	33 13
	36 13
	39 13
	42 13
	45 14
	48 15
	51 16
	54 18
	57 21
	59 24
	61 27
	62 31
	63 34
	63 37
	61 40
	58 39
	54 39
	51 38
	50 35
	47 33
	46 30
	44 26
	42 23
	42 20
	42 17
	42 14
	43 11
	45 8
	48 5
	51 2
	54 1
	58 0
	61 0
	64 0
	67 1
	70 1
	73 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 0
	22 3
	25 4
	28 7
	31 8
	35 12
	38 15
	42 16
	42 20
	46 22
	48 25
	49 29
	50 32
	50 35
	49 32
	47 29
	45 25
	44 21
	43 18
	43 15
	43 12
	43 9
	46 6
	49 6
	52 7
.PEN_UP
.PEN_DOWN
	57 60
	55 56
	57 56
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 11
	31 12
	35 15
	38 16
	41 19
	45 23
	48 26
	50 30
	51 34
	52 37
	55 41
	55 44
	57 48
	58 53
	58 57
	60 61
	61 65
	61 69
	61 72
	62 75
	63 79
	63 82
	60 82
	57 80
	55 77
	53 74
	52 71
	51 68
	50 64
	49 61
	48 57
	48 53
	48 50
	46 47
	46 44
	46 41
	46 37
	45 34
	44 31
	44 28
	44 24
	43 21
	43 18
	43 15
	43 12
	43 9
	43 6
	43 3
	42 0
	46 3
	47 7
	50 8
	51 11
	53 14
	55 17
	58 20
	61 22
	63 25
	67 28
	70 33
	73 36
	74 39
	77 39
	79 36
	79 33
	77 30
	73 27
	69 25
	66 24
	63 24
	60 23
	63 21
	66 20
	69 19
	71 16
	72 13
	75 11
	78 9
	80 6
	83 5
	86 6
	88 6
.PEN_UP
.PEN_DOWN
	17 0
	19 3
	22 4
	25 7
	29 10
	33 13
	35 16
	39 19
	42 23
	44 27
	45 30
	48 35
	49 40
	51 43
	52 47
	53 50
	55 54
	56 58
	57 64
	57 68
	58 72
	58 75
	58 79
	58 82
	58 85
	57 88
	55 94
	52 93
	50 90
	44 86
	42 82
	40 78
	38 75
	38 71
	38 67
	39 64
	39 61
	39 58
	38 54
	38 50
	38 47
	38 44
	38 41
	38 38
	38 35
	38 32
	39 29
	40 25
	41 22
	41 19
	42 16
	43 13
	45 10
	49 9
	52 9
	55 9
	58 9
	60 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 62
	52 65
	49 67
	46 67
	41 64
	38 60
	35 56
	33 51
	33 47
	33 44
	33 41
	36 39
	39 40
	42 44
	45 46
	49 51
	52 54
	55 57
	58 59
	57 56
	54 53
	53 49
	51 46
	49 43
	48 39
	44 34
	43 31
	40 27
	39 24
	37 21
	37 18
	37 15
	37 12
	36 9
	34 5
	33 2
	38 0
	41 0
	44 1
	48 3
	49 6
	49 9
	49 12
	46 14
	42 16
	41 19
	45 22
	48 24
	51 25
	55 27
	59 27
	62 29
	65 29
	69 31
	72 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	17 1
	21 4
	24 6
	27 9
	32 14
	34 17
	38 22
	41 28
	43 31
	46 34
	48 39
	51 43
	52 49
	54 53
	54 56
	55 59
	55 63
	56 66
	54 62
	52 59
	51 56
	48 52
	47 49
	47 46
	45 42
	43 38
	42 35
	41 31
	40 27
	38 23
	37 19
	36 15
	36 12
	37 7
	38 4
	41 2
	44 2
	47 1
	50 0
	53 0
	55 0
.PEN_UP
.PEN_DOWN
	29 45
	26 46
	23 46
	26 46
	29 45
	32 45
	40 43
	43 43
	47 43
	50 43
	53 42
	56 42
	59 43
	62 44
	65 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 29
	29 32
	32 33
	35 35
	37 38
	40 40
	43 41
	46 41
	47 38
	46 35
	46 32
	46 29
	45 25
	44 22
	43 18
	41 15
	40 12
	40 9
	40 6
	40 3
	42 0
	45 0
	48 0
	51 1
	54 3
	55 7
	57 11
	60 14
	62 18
	64 21
	65 24
	67 27
	69 30
	71 33
	73 36
	74 39
	77 37
	79 34
	80 31
	83 29
	84 28
.PEN_UP
.PEN_DOWN
	14 13
	17 15
	19 18
	22 20
	24 23
	27 27
	30 29
	31 32
	34 34
	37 36
	40 38
	43 38
	46 38
	47 35
	47 32
	46 29
	44 26
	43 23
	42 19
	40 16
	38 13
	36 10
	35 7
	35 4
	37 1
	40 0
	43 1
	46 4
	48 7
	50 10
	52 13
	55 16
	56 19
	58 22
	59 25
	62 27
	64 30
	65 33
	67 36
	65 33
	62 31
	60 28
	58 24
	56 21
	55 17
	54 14
	54 11
	55 8
	56 5
	57 2
	60 0
	63 0
	66 2
	69 5
	73 8
	74 11
	76 14
	77 17
	79 22
	80 25
	81 28
	81 31
	82 34
	85 35
	87 32
	87 29
	90 26
	94 27
.PEN_UP
.PEN_DOWN
	36 43
	40 45
	43 46
	48 47
	51 46
	51 43
	50 39
	50 36
	47 35
	47 32
	47 29
	47 26
	46 23
	46 20
	48 16
	51 14
	54 13
	57 13
	61 11
	64 10
	67 12
	70 15
	73 16
	72 17
.PEN_UP
.PEN_DOWN
	71 45
	68 43
	65 40
	62 39
	58 36
	56 33
	53 29
	48 25
	45 21
	42 19
	37 16
	34 13
	32 10
	29 8
	26 6
	25 3
	24 0
	26 0
.PEN_UP
.PEN_DOWN
	31 68
	32 71
	34 74
	35 77
	38 80
	40 83
	44 85
	47 86
	50 86
	53 85
	53 82
	52 76
	50 72
	47 69
	46 65
	45 62
	44 57
	44 54
	44 51
	48 49
	51 50
	54 51
	58 53
	60 56
	64 60
	68 64
	71 67
	71 70
	73 73
	74 76
	75 79
	76 82
	74 79
	73 76
	70 74
	67 68
	65 65
	65 62
	64 57
	62 52
	62 49
	62 45
	62 40
	62 36
	61 32
	59 29
	57 25
	56 22
	53 17
	51 14
	49 10
	45 4
	40 0
	37 6
	36 9
	37 16
	39 19
	41 22
	43 25
	47 28
	51 30
	55 32
	58 32
	62 34
	66 34
	69 35
	73 36
	77 38
	81 40
	85 41
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 24
	55 27
	56 30
	56 33
	53 34
	50 35
	47 35
	44 33
	40 31
	37 29
	34 26
	32 22
	29 17
	27 13
	26 10
	25 7
	25 4
	27 1
	30 0
	33 0
	36 1
	39 4
	42 6
	46 9
	49 11
	50 14
	53 17
	56 20
	58 23
	61 26
	63 29
	66 31
	63 30
	60 27
	58 24
	55 21
	55 18
	53 15
	53 12
	53 9
	53 6
	56 4
	59 3
	62 2
	65 2
	68 2
	72 2
	76 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	73 26
	73 29
	70 30
	67 31
	62 32
	59 32
	56 31
	53 30
	50 27
	49 23
	47 20
	47 17
	46 14
	45 10
	44 7
	44 3
	48 2
	52 2
	56 2
	59 1
	62 0
	66 0
	69 2
	72 4
	73 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 17
	35 16
	38 16
	42 16
	46 18
	49 19
	52 21
	53 24
	56 27
	58 30
	59 33
	59 36
	59 39
	58 42
	55 42
	52 41
	49 40
	46 37
	45 34
	43 31
	42 28
	41 25
	40 22
	39 19
	37 16
	36 12
	37 9
	39 6
	41 3
	45 3
	48 2
	51 0
	55 0
	58 0
	61 1
	64 3
	67 4
	70 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 62
	54 66
	52 69
	49 69
	46 68
	43 67
	40 63
	38 60
	36 56
	35 52
	34 49
	33 45
	33 42
	36 41
	39 41
	42 41
	46 42
	49 44
	51 47
	54 50
	55 53
	57 56
	59 59
	60 62
	62 65
	59 62
	57 57
	54 54
	54 50
	53 47
	53 44
	52 41
	52 36
	51 33
	51 30
	49 27
	49 23
	46 20
	45 17
	44 14
	43 11
	43 8
	40 6
	38 3
	35 0
	36 4
	36 7
	34 10
	34 13
	37 15
	41 18
	44 18
	48 20
	53 22
	57 24
	60 25
	63 27
	66 30
	69 30
	71 33
	74 34
	76 34
.PEN_UP
.PEN_DOWN
	23 18
	26 18
	29 18
	32 19
	35 20
	38 21
	41 22
	44 25
	47 27
	49 30
	52 34
	53 38
	55 41
	57 44
	57 47
	59 50
	62 55
	64 60
	66 64
	66 67
	67 70
	68 74
	69 77
	69 80
	66 80
	63 77
	60 75
	58 72
	55 66
	53 62
	52 58
	52 55
	51 52
	50 49
	48 45
	46 42
	44 39
	44 36
	42 33
	40 30
	39 27
	38 24
	37 21
	37 18
	35 15
	34 12
	33 9
	32 6
	31 3
	31 0
	34 1
	37 3
	38 6
	41 8
	44 10
	47 12
	51 14
	55 17
	58 20
	62 23
	65 24
	68 26
	71 28
	74 28
	77 29
	77 26
	76 23
	74 20
	72 17
	70 14
	68 11
	67 8
	67 5
	70 3
	73 2
	76 2
	80 2
	83 4
	86 7
	89 7
.PEN_UP
.PEN_DOWN
	25 0
