


.DATE		Jul. 93
.STYLE		PRINTED
.WRITER_ID	swlee
	53 29
	55 34
	58 38
	60 42
	61 45
	62 48
	63 51
	64 55
	64 58
	64 61
	63 64
	62 67
	59 68
	56 66
	53 63
	51 60
	49 57
	47 53
	43 47
	42 44
	40 39
	40 36
	39 33
	38 30
	38 27
	38 22
	38 19
	38 16
	39 12
	41 8
	43 5
	45 2
	48 2
	51 0
	57 0
	61 1
	65 2
	69 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 33
	45 33
	40 30
	37 26
	33 22
	32 18
	32 14
	32 10
	32 7
	33 4
	36 1
	39 0
	43 0
	47 1
	53 5
	56 6
	59 10
	60 15
	62 18
	62 21
	62 25
	62 28
	60 34
	56 37
	53 39
	48 39
	44 39
	41 38
	41 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 32
	32 32
	35 32
	40 32
	45 33
	48 33
	51 34
	54 34
	56 37
	54 38
.PEN_UP
.PEN_DOWN
	56 62
	55 59
	53 55
	52 51
	50 47
	48 44
	45 38
	43 35
	41 32
	39 29
	38 25
	37 22
	35 19
	35 16
	33 11
	33 5
	35 1
	38 0
	41 0
	45 0
	51 2
	56 3
.PEN_UP
.PEN_DOWN
	41 34
	39 30
	38 27
	36 23
	34 19
	32 15
	30 11
	29 8
	28 5
	28 2
	32 0
	35 1
	39 2
	43 4
	46 7
	50 10
	53 13
	57 18
	59 22
	61 26
	62 29
	63 32
	60 30
	58 27
	55 21
	53 17
	52 13
	51 10
	51 7
	54 3
	57 2
	61 2
	65 2
	68 3
	72 4
	74 6
.PEN_UP
.PEN_DOWN
	43 32
	43 29
	44 26
	44 21
	44 18
	46 14
	46 11
	46 8
	46 3
	47 0
	48 3
	51 6
	53 9
	56 13
	59 16
	63 19
	65 22
	68 26
	69 29
	68 29
.PEN_UP
.PEN_DOWN
	27 18
	25 15
	25 11
	24 8
	24 5
	25 2
	29 0
	32 1
	34 4
	36 7
	36 10
	38 15
	38 18
	36 15
	36 12
	36 9
	36 6
	36 3
	39 0
	42 0
	47 1
	51 3
	55 6
	58 10
	61 14
	62 17
	62 20
	62 23
	59 27
	55 28
	51 28
	47 27
	46 27
.PEN_UP
.PEN_DOWN
	52 29
	50 26
	48 23
	46 20
	44 17
	41 15
	38 11
	35 8
	32 5
	31 2
	30 0
.PEN_UP
.PEN_DOWN
	34 23
	36 20
	40 16
	43 13
	47 10
	50 8
	51 5
	52 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 36
	38 35
	42 35
	45 35
	48 35
	51 35
	55 36
	59 36
	58 33
	55 30
	52 26
	48 23
	46 20
	42 17
	38 12
	36 9
	34 6
	33 3
	35 0
	39 1
	43 2
	48 3
	51 3
	54 3
	57 5
	60 5
.PEN_UP
.PEN_DOWN
	38 19
	41 18
	45 17
	48 17
	52 16
	55 16
	52 16
.PEN_UP
.PEN_DOWN
	47 25
	46 28
	43 27
	40 26
	37 24
	34 21
	31 19
	28 16
	26 13
	23 10
	23 7
	23 4
	24 1
	28 0
	31 2
	34 5
	38 8
	42 13
	45 16
	46 19
	47 22
	49 25
	49 28
	47 25
	46 22
	45 19
	44 16
	44 12
	45 8
	49 6
	53 6
	59 8
	63 9
	67 12
	72 15
	74 16
.PEN_UP
.PEN_DOWN
	43 66
	42 63
	40 59
	39 52
	37 48
	36 45
	35 42
	34 37
	33 33
	32 30
	31 27
	30 24
	29 19
	28 15
	27 11
	26 7
	25 4
	23 0
	24 3
	25 6
	27 9
	28 12
	31 15
	33 18
	35 21
	37 24
	40 26
	43 28
	46 28
	49 28
	52 27
	55 24
	57 20
	57 16
	56 12
	54 9
	50 6
	47 4
	44 2
	39 1
	36 1
	33 3
	29 4
	27 7
	26 8
.PEN_UP
.PEN_DOWN
	57 27
	56 30
	53 30
	50 29
	47 27
	42 23
	41 20
	38 14
	36 10
	36 7
	37 4
	39 1
	44 0
	49 0
	52 1
	55 2
	60 4
	62 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 62
	47 62
	44 62
	40 60
	37 57
	34 54
	30 49
	29 46
	28 43
	28 40
	29 37
	32 37
	35 37
	39 39
	42 42
	45 45
	47 48
	50 51
	51 54
	53 57
	54 60
	55 63
	54 60
	53 57
	52 54
	50 51
	49 47
	48 44
	46 40
	45 36
	44 33
	43 28
	42 24
	41 19
	41 15
	40 11
	39 8
	38 4
	36 1
	33 0
	29 1
	26 3
	26 6
	26 10
	28 14
	32 21
	36 25
	39 27
	44 31
	47 34
	51 35
	54 37
	58 39
	64 43
	71 47
	75 49
	78 51
.PEN_UP
.PEN_DOWN
	46 60
	45 57
	44 54
	42 49
	41 45
	39 41
	38 37
	36 33
	36 30
	33 22
	31 17
	30 13
	28 9
	27 6
	26 3
	25 0
	27 3
	28 6
	31 9
	33 13
	36 16
	38 19
	41 22
	43 26
	46 27
	48 24
	47 21
	47 18
	46 15
	45 12
	45 9
	45 6
	48 3
	51 3
	56 4
	60 6
	63 8
	66 9
	69 11
	74 14
	77 15
	79 17
.PEN_UP
.PEN_DOWN
	34 3
	36 6
	39 8
	42 12
	44 16
	44 19
	45 22
	44 19
	43 16
	41 13
	40 10
	40 7
	39 4
	40 1
	43 0
	46 1
	51 4
	52 6
.PEN_UP
.PEN_DOWN
	45 47
	48 44
	51 42
	53 41
.PEN_UP
.PEN_DOWN
	48 45
	46 42
	45 38
	43 32
	43 28
	42 24
	40 20
	38 15
	36 12
	32 6
	29 4
	25 1
	22 0
	19 0
	15 0
	12 2
	11 5
	11 6
.PEN_UP
.PEN_DOWN
	48 63
	51 60
	55 57
	57 55
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	19 5
	22 3
	25 3
	28 3
	32 5
	35 8
	39 11
	42 14
	45 18
	47 22
	50 27
	52 31
	53 34
	55 38
	57 42
	58 46
	59 53
	59 56
	59 60
	59 64
	59 67
	58 70
	57 73
	56 76
	53 76
	49 73
	46 70
	43 66
	43 63
	40 58
	38 55
	36 51
	36 48
	35 42
	35 39
	35 36
	35 33
	35 28
	35 25
	36 22
	38 17
	40 12
	42 8
	43 5
	46 2
	50 0
	53 0
	56 0
	59 2
	63 3
	66 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 16
	23 19
	26 22
	30 25
	33 27
	36 29
	39 30
	42 30
	43 27
	42 24
	41 21
	39 17
	37 13
	36 9
	33 6
	32 3
	30 0
	31 3
	33 6
	35 10
	37 13
	40 16
	43 19
	46 22
	49 25
	52 26
	53 22
	51 19
	50 16
	48 11
	48 8
	48 5
	49 2
	52 1
	56 1
	60 2
	64 3
	68 5
	73 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 36
	33 31
	33 28
	31 24
	30 20
	30 17
	28 13
	27 9
	26 6
	24 3
	23 0
	24 3
	26 6
	28 10
	31 14
	33 17
	36 21
	40 24
	43 27
	46 28
	51 30
	55 32
	59 33
	63 34
	66 34
	69 34
	71 34
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 33
	29 30
	30 27
	31 24
	31 21
	32 17
	32 13
	32 9
	32 6
	33 3
	34 0
	36 3
	38 6
	41 10
	44 13
	48 18
	51 19
	54 22
	57 25
	59 28
	62 30
	60 32
.PEN_UP
.PEN_DOWN
	29 30
	26 29
	25 25
	23 22
	23 19
	22 15
	22 11
	22 8
	23 4
	24 1
	28 0
	31 0
	34 3
	38 5
	40 9
	42 12
	43 15
	43 18
	43 21
	41 17
	42 13
	43 10
	44 7
	48 5
	51 5
	54 6
	57 8
	60 11
	63 17
	65 20
	66 24
	66 27
	66 30
	64 34
	61 36
	58 38
	55 39
	52 39
	52 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 22
	56 25
	53 27
	50 26
	47 25
	45 22
	42 20
	40 17
	37 13
	34 10
	33 7
	32 4
	32 1
	36 0
	39 1
	42 3
	45 6
	48 8
	51 12
	53 15
	56 19
	57 22
	58 25
	57 22
	56 19
	54 15
	53 12
	52 8
	52 5
	52 2
	55 0
	60 2
	63 3
	66 4
	69 6
	73 7
	76 9
	79 11
	81 13
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	66 62
	66 65
	66 68
	63 70
	60 70
	57 70
	54 69
	51 67
	48 63
	45 59
	43 55
	42 51
	41 48
	39 43
	39 40
	38 35
	37 32
	37 25
	36 20
	35 15
	33 11
	30 7
	27 4
	23 1
	20 0
	17 0
	16 1
.PEN_UP
.PEN_DOWN
	26 38
	30 38
	34 37
	38 36
	41 36
	44 35
	49 35
	52 34
	55 34
	59 34
	62 34
	63 35
.PEN_UP
.PEN_DOWN
	56 53
	57 57
	57 60
	54 62
	51 62
	47 61
	44 60
	40 59
	37 57
	34 54
	32 51
	30 48
	29 45
	29 41
	30 38
	33 37
	36 37
	40 38
	43 40
	46 42
	49 45
	52 48
	54 51
	56 55
	57 58
	58 61
	57 58
	55 54
	53 51
	51 47
	49 43
	46 38
	44 34
	43 31
	42 27
	41 24
	40 21
	38 16
	37 13
	35 7
	33 4
	30 1
	27 0
	24 1
	23 4
	23 7
	24 11
	27 16
	29 19
	35 25
	38 27
	43 29
	47 32
	53 34
	58 36
	63 37
	68 39
	74 40
	79 41
.PEN_UP
.PEN_DOWN
	52 51
	51 48
	50 45
	49 42
	48 39
	46 35
	45 31
	42 27
	40 23
	39 19
	37 16
	35 12
	34 9
	32 6
	31 3
	31 6
	33 9
	33 12
	36 15
	39 18
	42 21
	45 24
	49 27
	52 27
	52 24
	51 20
	51 17
	50 13
	50 10
	50 7
	51 4
	53 0
	56 0
	61 1
	65 4
	69 8
	72 9
	75 11
	79 16
.PEN_UP
.PEN_DOWN
	29 0
	32 2
	35 3
	38 6
	41 8
	44 11
	47 15
	48 20
	50 23
	50 26
	47 23
	47 19
	46 15
	45 9
	45 5
	45 2
	48 0
	51 1
	54 4
	55 5
.PEN_UP
.PEN_DOWN
	57 49
	61 46
	65 44
	68 43
	69 42
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	29 12
	32 13
	35 14
	39 16
	42 17
	45 19
	48 21
	50 24
	52 27
	55 31
	57 35
	60 40
	62 43
	63 46
	64 51
	65 54
	67 61
	67 65
	67 68
	67 72
	65 75
	62 76
	59 76
	56 74
	53 73
	51 70
	48 65
	44 57
	42 54
	42 50
	41 47
	40 44
	40 41
	40 38
	39 35
	39 32
	39 29
	39 25
	41 19
	41 16
	42 13
	44 9
	46 6
	49 2
	53 0
	56 0
	59 1
	62 3
	65 4
	67 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 29
	46 29
	43 29
	40 28
	37 24
	36 20
	35 17
	34 14
	34 11
	34 7
	35 3
	38 0
	41 0
	44 0
	48 0
	51 1
	56 4
	59 8
	61 12
	62 17
	62 21
	62 25
	59 29
	56 31
	53 33
	49 34
	46 34
	43 33
	40 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 47
	51 50
	51 53
	51 56
	50 59
	47 59
	42 57
	38 54
	35 52
	32 49
	30 46
	33 46
	36 46
	40 46
	43 47
	46 47
	49 46
	51 42
	51 39
	51 35
	48 31
	46 27
	44 24
	41 20
	40 17
	36 12
	35 9
	35 6
	35 3
	38 1
	42 0
	45 0
	48 3
	51 4
	53 7
	53 10
	53 16
	53 19
	51 22
	47 24
	44 26
	48 27
	53 28
	56 29
	59 30
	66 31
	69 32
	73 33
	76 34
	79 35
.PEN_UP
.PEN_DOWN
	36 42
	36 39
	36 36
	36 32
	35 28
	35 23
	35 19
	35 16
	34 13
	34 10
	34 7
	33 3
	32 0
	31 3
	31 6
	31 10
	33 15
	34 18
	36 21
	39 25
	40 28
	43 31
	47 34
	50 36
	54 39
	59 41
	63 42
	65 42
.PEN_UP
.PEN_DOWN
	59 27
	56 28
	53 29
	50 28
	47 28
	44 27
	41 24
	41 21
	42 18
	44 15
	47 14
	51 11
	54 8
	55 5
	54 2
	51 1
	48 0
	44 0
	41 1
	38 2
	34 5
	34 10
	34 13
	35 18
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 32
	37 28
	36 25
	34 21
	31 16
	30 11
	29 8
	29 5
	29 2
	32 0
	36 1
	40 3
	44 6
	48 9
	53 15
	55 18
	56 21
	58 24
	59 28
	60 31
	60 34
	60 37
	59 34
	57 30
	56 26
	54 21
	52 15
	52 11
	52 7
	52 4
	54 1
	57 0
	64 0
	67 0
	71 1
	74 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 36
	35 33
	34 30
	31 23
	30 20
	28 15
	27 10
	26 6
	26 3
	26 0
	29 1
	32 5
	35 9
	38 15
	41 18
	44 22
	47 25
	49 22
	48 18
	48 15
	48 11
	50 7
	53 5
	56 5
	59 6
	62 10
	66 16
	67 19
	68 22
	68 26
	68 29
	68 33
	68 38
	67 41
	65 44
	63 47
	60 49
	53 52
	50 53
	46 54
	43 54
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 28
	46 30
	43 30
	40 28
	37 27
	34 24
	31 21
	28 17
	26 13
	24 9
	24 6
	24 3
	26 0
	30 0
	33 0
	36 3
	40 5
	43 8
	45 12
	47 18
	48 21
	48 24
	48 27
	48 30
	47 27
	46 21
	45 17
	45 14
	44 10
	44 6
	44 3
	48 0
	52 0
	56 0
	59 2
	62 3
	65 4
	69 6
	75 8
	81 13
.PEN_UP
.PEN_DOWN
	56 74
	55 71
	53 68
	52 65
	50 61
	50 57
	49 54
	48 51
	46 48
	46 45
	43 39
	42 36
	40 30
	39 27
	38 23
	37 20
	36 16
	35 13
	34 9
	33 6
	32 3
	31 0
	32 4
	33 7
	35 10
	36 13
	38 16
	38 19
	40 22
	42 25
	44 30
	47 33
	49 37
	52 38
	55 39
	58 39
	61 39
	64 38
	65 35
	65 31
	65 28
	64 23
	62 19
	60 15
	57 12
	53 10
	49 8
	46 7
	42 7
	38 8
	35 10
	32 14
	31 17
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 43
	57 46
	58 50
	59 53
	59 56
	56 56
	53 56
	50 54
	47 53
	44 51
	42 48
	40 45
	38 42
	38 39
	38 36
	41 35
	44 35
	47 37
	50 39
	53 41
	55 44
	58 47
	60 50
	61 53
	58 52
	57 49
	56 46
	56 43
	54 39
	53 36
	51 32
	50 29
	48 25
	46 19
	45 16
	43 12
	42 9
	40 6
	38 3
	36 0
	33 1
	31 4
	30 7
	30 11
	32 14
	34 19
	41 26
	46 30
	50 31
	55 34
	58 35
	61 36
	65 37
	68 38
.PEN_UP
.PEN_DOWN
	53 65
	51 62
	50 59
	49 56
	47 52
	45 48
	45 45
	44 41
	43 37
	42 34
	40 30
	38 25
	37 21
	36 18
	34 14
	32 10
	32 6
	31 3
	29 0
	30 3
	33 5
	34 8
	37 11
	39 14
	43 17
	47 20
	50 22
	52 19
	51 16
	51 13
	50 8
	50 5
	52 2
	56 1
	59 2
	62 3
	66 6
	69 8
	72 9
	74 12
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 53
	53 50
	51 45
	50 42
	48 37
	46 34
	44 31
	43 28
	41 25
	39 22
	37 19
	34 14
	32 11
	30 8
	27 4
	24 2
	21 0
	18 0
	14 2
	12 5
	10 10
	9 14
	8 17
	8 20
	8 24
.PEN_UP
.PEN_DOWN
	52 76
	56 73
	59 71
	62 71
	63 72
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 12
	25 15
	27 18
	29 21
	33 25
	36 26
	39 27
