


.DATE		Aug. 92
.STYLE		PRINTED
.WRITER_ID	jwkim
	65 6
.PEN_UP
.PEN_DOWN
	29 6
	29 9
	31 12
	33 16
	35 19
	36 22
	40 27
	43 30
	46 33
	49 33
	49 30
	49 27
	49 24
	47 19
	46 16
	46 13
	44 9
	42 4
	44 8
	47 14
	48 17
	49 20
	53 24
	55 27
	58 27
	58 24
	58 19
	58 16
	57 12
	56 8
	56 5
	57 8
	58 11
	60 15
	63 22
	65 25
	68 25
	68 22
	68 19
	67 16
	67 13
	66 7
	66 2
	69 0
	73 0
	76 3
	77 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 64
	28 59
	28 56
	29 52
	30 48
	31 43
	32 32
	33 26
	34 22
	35 18
	35 14
	36 10
	36 7
	36 4
	37 0
	35 3
	34 4
.PEN_UP
.PEN_DOWN
	32 64
	33 68
	36 71
	39 72
	43 72
	46 71
	50 68
	52 65
	53 62
	54 55
	54 52
	54 49
	53 46
	51 43
	50 40
	47 36
	43 33
	40 32
	36 31
	32 31
	29 30
.PEN_UP
.PEN_DOWN
	54 63
	56 66
	57 69
	58 72
	57 76
	54 78
	50 78
	47 76
	44 73
	41 69
	40 66
	40 63
	41 60
	44 58
	47 58
	51 59
	54 60
	57 60
	60 57
	60 54
	60 50
	60 45
	58 34
	57 28
	56 23
	54 18
	53 14
	53 10
	52 7
	51 4
	51 0
	54 0
	57 3
	59 6
	62 10
	64 14
	64 19
	63 24
	61 27
	57 30
	53 31
	50 32
	53 35
	57 37
	60 37
	63 38
	68 39
	71 39
	75 39
	78 39
.PEN_UP
.PEN_DOWN
	32 40
	34 35
	35 31
	36 27
	37 23
	37 18
	37 14
	37 11
	37 8
	37 3
	36 0
	33 0
	30 3
	29 11
	29 14
	29 17
	30 21
	31 25
	33 28
	36 31
	39 33
	42 34
	46 35
	49 36
	53 36
	57 36
	60 35
	61 34
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	23 26
	27 27
	30 28
	33 28
	39 29
	43 30
	46 30
	49 31
	52 31
	55 32
	54 33
.PEN_UP
.PEN_DOWN
	44 43
	43 38
	42 35
	41 32
	40 29
	39 26
	38 23
	37 15
	36 12
	36 9
	36 5
	38 1
	41 0
	44 0
	48 2
	52 3
	54 5
.PEN_UP
.PEN_DOWN
	29 28
	29 25
	27 20
	26 17
	26 13
	26 8
	26 4
	28 1
	31 0
	34 0
	38 3
	40 6
	42 9
	42 12
	44 17
	45 20
	46 23
	45 20
	45 16
	46 9
	49 6
	52 4
	55 4
	56 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 41
	21 38
	21 35
	20 31
	20 28
	20 23
	19 20
	19 16
	19 10
	19 7
	20 3
	21 0
	24 1
	26 5
	27 8
	28 12
	29 16
	30 19
	32 15
	32 10
	32 5
	33 2
	36 0
	39 1
	41 5
	42 9
	42 14
	42 19
	42 22
	42 25
	41 30
	41 34
	40 37
	40 39
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	43 72
	42 68
	41 62
	39 56
	38 50
	35 37
	33 32
	32 26
	31 21
	29 16
	29 12
	28 8
	28 3
	28 0
	28 3
	29 7
	29 11
	29 14
	31 20
	32 24
	33 28
	35 31
	37 35
	41 39
	44 40
	48 40
	52 39
	55 35
	55 31
	55 28
	55 24
	55 20
	55 17
	53 14
	52 11
	50 8
	47 5
	42 3
	39 3
	35 6
	32 9
	30 13
.PEN_UP
.PEN_DOWN
	59 38
	56 39
	52 39
	49 38
	45 35
	42 31
	41 28
	40 24
	38 20
	38 16
	38 12
	39 6
	42 2
	46 0
	49 0
	54 0
	57 2
	60 3
	63 5
.PEN_UP
.PEN_DOWN
	80 23
	80 26
	79 29
	77 32
	74 35
	71 36
	66 36
	62 35
	59 33
	55 30
	52 26
	50 21
	49 14
	49 10
	51 7
	54 5
	58 5
	61 5
	66 8
	69 10
	72 14
	74 18
	75 21
	75 24
	76 27
	76 31
	76 35
	76 45
	77 49
	77 54
	77 58
	78 61
	78 65
	76 58
	75 53
	75 47
	75 41
	75 35
	75 29
	75 23
	76 18
	77 13
	79 7
	81 4
	84 0
	87 0
	88 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	70 70
	70 73
	68 76
	63 77
	60 75
	56 72
	54 68
	53 64
	53 61
	55 58
	59 58
	63 58
	67 59
	70 61
	72 64
	73 67
	73 70
	72 73
	69 72
	69 69
	69 61
	69 56
	69 50
	69 44
	69 38
	69 32
	69 26
	69 21
	69 16
	69 11
	69 7
	69 0
	66 0
	63 2
	60 5
	54 12
	52 16
	52 19
	52 24
	53 27
	57 32
	60 35
	63 37
	71 41
	75 43
	78 44
	82 45
	85 46
	89 47
	92 47
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	40 56
	44 54
	47 52
	50 51
	53 50
	51 49
.PEN_UP
.PEN_DOWN
	41 27
	40 22
	39 18
	38 14
	37 10
	37 7
	37 3
	39 0
	44 1
	47 1
	50 2
	53 3
	56 4
	58 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 55
	39 52
	39 49
	40 45
	40 41
	41 37
	42 33
	42 28
	43 24
	43 16
	43 12
	44 9
	44 6
	44 3
	44 0
	44 3
	45 5
.PEN_UP
.PEN_DOWN
	60 56
	59 52
	57 48
	57 45
	55 40
	53 35
	51 31
	50 28
	46 22
	43 20
	40 17
	42 12
	46 10
	49 8
	54 5
	58 3
	62 1
	66 0
	66 3
	65 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	44 31
	45 34
	47 37
	48 40
	50 43
	52 47
	55 49
	58 51
	60 47
	62 40
	62 37
	62 34
	63 30
	63 27
	63 24
	63 20
	63 17
	63 14
	62 9
	61 3
	61 0
	60 4
	60 7
	60 11
	60 14
	60 19
	61 23
	62 27
	64 34
	65 38
	66 41
	68 44
	69 47
	72 50
	73 47
	74 44
	74 40
	74 37
	74 30
	74 27
	74 24
	74 21
	74 18
	73 14
	72 11
	72 8
	72 11
	72 14
	72 19
	72 24
	73 30
	73 33
	74 37
	76 40
	77 43
	79 47
	80 43
	80 38
	80 30
	80 25
	80 22
	80 19
	81 15
	81 11
	82 8
	85 7
	88 10
	88 11
.PEN_UP
.PEN_DOWN
	18 35
	18 39
	22 45
	25 49
	29 53
	32 57
	35 60
	38 62
	41 63
	42 60
	43 54
	43 50
	43 46
	43 41
	43 32
	43 28
	43 24
	43 20
	43 17
	42 14
	42 11
	42 7
	41 3
	40 0
	39 3
	39 6
	39 11
	39 14
	39 19
	39 22
	40 26
	40 29
	40 32
	41 36
	42 39
	43 42
	44 45
	46 50
	47 53
	49 57
	52 62
	54 65
	57 67
	59 62
	59 59
	59 56
	59 52
	59 48
	59 44
	59 40
	59 35
	59 31
	59 27
	59 19
	59 16
	59 13
	60 8
	61 5
	64 4
	65 6
.PEN_UP
.PEN_DOWN
	37 50
	36 47
	35 44
	35 39
	34 36
	34 29
	34 26
	34 23
	35 19
	35 15
	36 12
	37 9
	39 4
	43 1
	49 0
	53 0
	57 2
	60 6
	62 10
	63 15
	63 21
	63 26
	63 30
	63 34
	63 38
	63 41
	57 44
	54 47
	51 50
	48 50
	45 50
	42 49
	39 46
	39 43
	40 40
.PEN_UP
.PEN_DOWN
	31 83
	31 79
	31 75
	32 71
	33 67
	34 62
	36 56
	37 51
	38 45
	38 39
	38 33
	38 28
	39 19
	39 14
	39 10
	40 7
	40 4
	40 0
	42 3
	43 5
.PEN_UP
.PEN_DOWN
	34 88
	37 91
	40 91
	44 91
	48 87
	50 84
	51 81
	52 78
	53 75
	54 72
	54 67
	54 63
	53 59
	51 55
	48 52
	45 50
	42 50
	39 50
	37 51
.PEN_UP
.PEN_DOWN
	35 76
	36 79
	36 82
	36 85
	33 87
	30 86
	27 85
	22 81
	17 76
	14 71
	12 65
	12 61
	12 58
	14 55
	18 54
	22 54
	25 54
	28 55
	31 57
	34 59
	37 61
	40 63
	40 59
	39 56
	39 52
	38 46
	38 40
	37 34
	36 28
	35 23
	34 18
	34 14
	33 6
	33 3
	34 0
	37 0
	40 3
	43 6
	45 9
	48 13
	48 16
	48 19
	47 23
	45 26
	42 29
	39 29
	39 32
	44 35
	50 38
	54 40
	58 42
	61 42
	63 43
.PEN_UP
.PEN_DOWN
	33 43
	34 40
	36 36
	37 32
	38 23
	39 19
	39 15
	40 11
	40 8
	40 5
	40 2
	37 0
	36 3
	35 6
	33 11
	33 14
	32 17
	32 21
	32 25
	33 31
	35 34
	40 37
	43 38
	46 39
	51 40
	56 42
	59 42
	61 42
.PEN_UP
.PEN_DOWN
	55 50
	52 49
	49 47
	46 44
	42 41
	40 38
	39 35
	39 32
	40 29
	42 26
	45 23
	51 17
	54 13
	56 10
	56 7
	56 4
	56 1
	53 0
	49 0
	46 1
	42 2
	39 4
	36 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	25 42
	26 39
	27 34
	29 30
	30 24
	31 19
	32 14
	34 7
	36 4
	38 0
	41 0
	44 2
	45 7
	47 17
	47 21
	47 25
	47 30
	47 34
	47 39
	47 42
	47 45
	48 47
.PEN_UP
.PEN_DOWN
	16 47
	16 44
	17 40
	17 36
	18 32
	18 27
	19 20
	19 16
	20 13
	20 10
	21 7
	22 3
	23 0
	25 3
	26 6
	27 9
	28 12
	28 17
	29 20
	30 23
	31 29
	31 32
	32 35
	32 38
	33 41
	35 36
	35 33
	36 26
	37 22
	38 19
	41 17
	43 14
	45 17
	45 20
	45 23
	45 28
	45 32
	45 36
	45 40
	45 44
	45 48
	45 51
	45 54
	46 59
	48 56
	48 57
.PEN_UP
.PEN_DOWN
	40 44
	40 47
	41 50
	43 54
	46 56
	49 56
	53 52
	55 49
	56 46
	60 36
	62 31
	63 26
	65 21
	66 17
	67 13
	68 10
	69 7
	71 4
	72 7
	71 10
.PEN_UP
.PEN_DOWN
	75 52
	73 49
	70 46
	68 43
	64 38
	62 34
	59 30
	56 25
	50 17
	47 13
	45 10
	43 7
	42 4
	41 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 24
	55 27
	55 30
	53 33
	50 36
	46 36
	42 33
	38 30
	37 27
	34 19
	33 14
	33 11
	34 7
	36 3
	39 1
	43 0
	46 0
	50 1
	54 2
	57 4
	58 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	42 7
	47 7
	52 8
	56 10
	60 11
	63 13
	66 15
	69 18
	70 21
	71 24
	71 27
	71 30
	70 34
	67 35
	63 32
	60 28
	59 25
	57 19
	57 16
	57 11
	58 8
	60 5
	62 2
	66 0
	70 0
	73 0
	76 1
	76 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	30 75
	30 72
	30 68
	30 63
	31 57
	32 51
	32 45
	33 40
	33 34
	34 29
	35 24
	35 15
	36 12
	36 9
	36 6
	37 2
	38 0
.PEN_UP
.PEN_DOWN
	53 44
	50 43
	47 40
	45 37
	42 34
	39 31
	37 27
	34 24
	32 20
	30 17
	30 14
	32 11
	36 8
	40 6
	46 4
	51 4
	56 4
	59 4
	58 5
.PEN_UP
.PEN_DOWN
	33 1
	36 0
	39 2
	43 5
	47 9
	49 12
	53 16
	56 21
	58 28
	59 32
	60 35
	60 40
	61 44
	61 49
	61 53
	61 58
	61 63
	61 67
	61 71
	60 76
	60 80
	57 82
	56 79
	54 74
	53 70
	52 66
	51 62
	51 57
	50 51
	50 46
	50 40
	50 35
	51 29
	52 23
	53 18
	55 9
	58 4
	61 1
	65 1
	68 2
	71 6
	71 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 5
	27 8
	28 12
	30 17
	34 25
	35 29
	37 32
	39 36
	42 41
	44 44
	46 47
	48 43
	48 40
	48 37
	48 33
	47 29
	47 25
	46 18
	46 14
	45 11
	44 8
	43 4
	43 0
	44 3
	44 6
	45 9
	45 12
	46 16
	47 22
	48 25
	49 28
	51 33
	52 36
	54 40
	56 44
	59 44
	60 41
	60 36
	60 33
	60 30
	59 27
	59 24
	59 21
	59 15
	59 11
	61 8
	64 8
	67 9
	70 12
	71 14
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 63
	35 57
	35 54
	35 51
	36 47
	36 43
	37 39
	37 35
	37 31
	37 28
	38 24
	38 20
	38 14
	38 9
	39 6
	39 3
	39 0
	38 3
	38 6
	38 8
.PEN_UP
.PEN_DOWN
	31 68
	32 71
	36 72
	41 71
	43 68
	47 65
	49 62
	50 59
	49 55
	47 52
	44 51
	41 49
	38 48
	37 45
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 42
	23 39
	24 36
	26 31
	27 27
	28 22
	29 19
	30 15
	30 11
	30 8
	30 3
	30 0
	27 0
	26 3
	25 8
	25 11
	25 15
	25 19
	25 23
	25 28
	26 31
	28 34
	31 38
	34 39
	41 42
	46 43
	50 44
	53 44
	54 42
.PEN_UP
.PEN_DOWN
	34 52
	30 49
	28 46
	25 42
	24 39
	24 36
	25 33
	27 29
	30 25
	36 17
	38 14
	41 10
	43 7
	43 4
	42 1
	39 0
	35 0
	31 1
	26 2
	22 3
	18 4
	21 4
.PEN_UP
.PEN_DOWN
	15 38
	22 40
	25 40
	28 41
	31 42
	35 42
	38 43
	41 43
	45 43
	50 43
	53 43
	51 43
.PEN_UP
.PEN_DOWN
	38 62
	37 58
	36 54
	35 49
	35 44
	34 39
	34 34
	34 28
	33 23
	33 17
	33 13
	33 6
	36 2
	40 0
	44 0
	48 3
	52 4
	55 6
	58 8
	58 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 8
	24 13
	25 16
	28 21
	31 24
	32 27
	34 30
	36 33
	38 36
	39 39
	44 45
	46 48
	48 45
	48 42
	48 38
	48 31
	47 27
	47 22
	47 18
	47 14
	47 11
	47 8
	48 5
	50 2
	53 0
	56 0
	59 0
	62 2
	64 5
	65 8
	66 11
	67 14
	68 22
	68 25
	69 30
	69 33
	69 36
	69 39
	70 42
	69 45
	69 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 50
	40 51
	43 52
	48 54
	51 54
	54 55
	58 55
	64 57
	67 57
	71 58
	74 59
	71 58
	68 55
	64 51
	63 48
	61 45
	60 41
	59 37
	57 32
	56 28
	55 23
	53 16
	52 13
	51 10
	50 7
	48 3
	46 0
	50 2
	53 2
	58 4
	61 4
	64 5
	67 5
	71 6
	74 6
	77 7
	74 6
.PEN_UP
.PEN_DOWN
	69 28
	69 31
	68 34
	67 37
	64 40
	61 40
	57 39
	53 34
	51 31
	49 28
	47 24
	46 20
	44 16
	44 13
	44 7
	45 3
	48 0
	52 0
	55 1
	59 3
	61 6
	64 9
	65 13
	66 18
	67 21
	67 24
	67 28
	64 25
	64 20
	64 17
	65 14
	67 10
	70 6
	73 3
	76 2
	78 1
.PEN_UP
.PEN_DOWN
	42 75
	42 69
	42 56
	42 49
	42 42
	42 36
	42 29
	41 23
	41 17
	41 13
	41 9
	42 6
	42 3
	42 0
	42 3
	42 7
	42 10
	44 15
	45 18
	48 22
	52 24
	55 24
	59 24
	60 21
	60 18
	59 14
	56 11
	52 8
	48 7
	45 7
	42 7
	43 7
.PEN_UP
.PEN_DOWN
	44 19
	44 22
	44 27
	43 30
	40 30
	37 28
	36 25
	34 20
	34 13
	34 8
	37 4
	40 1
	43 0
	47 0
	51 1
	55 1
	59 3
	61 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	58 76
	58 80
	58 83
	58 87
	57 90
	56 93
	53 94
	50 93
	47 91
	44 88
	42 84
	40 80
	39 77
	39 74
	39 70
	39 66
	39 62
	39 57
	39 52
	41 41
	42 35
	43 29
	43 24
	44 19
	44 15
	44 10
	44 7
	44 4
	44 0
	41 1
	38 5
	36 9
.PEN_UP
.PEN_DOWN
	34 41
	37 41
	44 43
	47 44
	51 44
	54 44
	59 45
	63 45
	66 45
	70 45
	69 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	38 71
	41 72
	44 73
	47 74
	50 75
	51 75
.PEN_UP
.PEN_DOWN
	45 40
	45 36
	45 32
	46 28
	46 24
	46 17
