


.DATE		Aug. 92
.STYLE		MIXED
.WRITER_ID	jhkim
	350 10
	350 7
	350 4
	353 4
	356 6
	359 8
	362 10
	363 13
	366 16
	368 19
	369 23
	370 27
	371 30
	372 33
	373 36
	373 39
	372 36
	371 33
	371 29
	369 26
	369 23
	369 19
	369 16
	370 13
	374 11
	377 9
	380 10
	383 12
	386 14
	389 17
	390 20
	392 24
	393 27
	393 30
	394 33
	396 36
	399 36
	402 34
	406 33
	409 31
	411 28
	409 25
	407 22
	406 18
	406 15
	404 12
	404 9
	404 6
	407 5
	410 5
	414 7
	418 10
	421 12
	424 15
	427 18
	429 22
	431 25
	432 28
	432 31
	429 31
	426 29
	423 27
	421 23
	419 18
	419 14
	419 11
	422 9
	425 9
	429 9
	433 8
	437 8
	440 8
	443 8
	446 8
	449 9
	452 11
	455 11
.PEN_UP
.PEN_DOWN
	307 50
	313 51
	318 51
	321 50
	324 50
	330 50
	337 50
	341 50
	345 50
	349 50
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	277 7
	279 10
	281 13
	283 17
	286 19
	290 23
	292 27
	295 31
	296 34
	293 33
	291 29
	290 25
	290 21
	290 17
	290 13
	291 10
	295 9
	299 9
	303 10
	307 13
	312 15
	316 21
	318 24
	320 27
	321 30
	322 26
	321 22
	321 17
	321 11
	320 8
	319 5
	315 3
	312 3
	309 6
	312 5
	315 4
	318 3
	321 2
	324 2
	327 2
	330 0
.PEN_UP
.PEN_DOWN
	283 57
	286 57
	290 57
	293 55
	297 52
	300 51
	305 48
	313 46
	316 46
	320 47
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	258 13
	261 16
	264 18
	265 21
	268 23
	270 26
	274 30
	275 33
	278 36
	280 33
	284 33
	289 32
	292 31
	293 28
	293 25
	292 22
	291 19
	291 16
	291 13
	291 9
	292 5
	292 2
	295 0
	299 1
	304 3
	306 7
	309 8
	312 11
	315 14
	317 17
	318 21
	320 25
	320 28
	320 31
	316 31
	312 29
	310 26
	309 22
	309 19
	309 16
	309 12
	309 8
	311 5
	314 5
	319 5
	322 6
	326 7
	330 9
	334 11
	338 16
	338 20
	340 24
	340 27
	342 30
	338 28
	336 25
	336 21
	335 18
	335 14
	335 11
	338 8
	341 7
	345 8
	349 9
	352 9
	356 9
	358 9
.PEN_UP
.PEN_DOWN
	370 26
	367 26
	364 25
	359 24
	355 22
	350 18
	348 15
	347 12
	347 8
	351 6
	356 6
	361 8
	365 9
	369 13
	373 16
	377 19
	381 23
	381 26
	383 30
	386 35
	386 38
	386 41
	387 44
	387 48
	386 51
	383 52
	381 49
	379 44
	379 39
	379 36
	378 32
	378 29
	378 26
	378 20
	378 16
	380 13
	382 9
	386 7
	390 5
.PEN_UP
.PEN_DOWN
	306 2
	307 5
	308 8
	311 10
	311 13
	312 17
	315 19
	316 22
	318 25
	319 28
	323 33
	324 36
	326 40
	326 43
	328 46
	328 49
	329 52
	327 48
	325 45
	323 42
	323 39
	321 34
	320 29
	319 22
	318 19
	318 16
	318 13
	318 10
	318 7
	320 4
	323 4
	326 5
	330 7
	333 10
	334 14
	336 17
	339 21
	339 24
	341 27
	343 32
	344 35
	345 38
	347 42
	348 46
	350 49
	352 52
	349 50
	347 47
	344 45
	344 40
	342 36
	342 33
	341 27
	341 22
	341 19
	341 16
	340 13
	340 9
	340 6
	340 3
	339 0
	339 4
	340 7
	341 10
	342 13
	344 17
	347 18
	350 22
	353 23
	356 23
	356 20
	355 17
	354 14
	354 10
	355 7
	357 4
	361 3
	364 4
	368 5
	369 8
	372 9
	374 12
	376 15
	378 19
	378 22
	375 24
	372 21
	369 18
	368 15
	368 10
	368 7
	369 4
	373 3
	376 3
	381 4
	386 4
	389 6
	392 9
	393 9
.PEN_UP
.PEN_DOWN
	302 37
	305 38
	308 38
	315 38
	318 38
	322 38
	325 38
	329 37
	335 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	231 22
	233 25
	237 27
	241 30
	245 30
	247 27
	247 24
	246 21
	246 17
	246 13
	244 10
	245 6
	245 3
	248 1
	251 3
	256 6
	259 9
	262 11
	265 16
	267 20
	269 24
	270 28
	267 30
	266 27
	266 24
	266 20
	266 17
	267 14
	267 11
	270 9
	273 9
	275 13
	278 16
	281 19
	281 23
	283 26
	284 29
	287 32
	290 35
	292 32
	292 29
	292 26
	292 22
	291 18
	291 15
	291 12
	290 9
	290 6
	289 3
	287 0
	290 1
	291 4
	292 7
	295 9
	296 12
	298 16
	301 19
	304 22
	307 26
	308 29
	311 30
	309 27
	309 24
	307 20
	308 17
	308 14
	308 10
	308 7
	308 4
	311 2
	314 3
	314 6
	317 9
	319 12
	320 15
	322 19
	323 22
	324 26
	326 29
	326 32
	327 36
	325 33
	323 30
	322 27
	321 24
	321 20
	321 17
	321 14
	321 11
	323 8
	326 7
	329 8
	332 10
	334 13
	336 17
	337 21
	338 26
	339 29
	339 33
	341 36
	344 36
	347 36
	349 33
	349 30
	350 27
	350 23
	348 20
	347 17
	347 12
	347 9
	347 5
	348 2
	351 0
	354 1
	357 3
	359 6
	359 9
	359 13
	360 18
	360 21
	362 26
	363 30
	364 33
	365 30
	368 26
	371 23
	374 23
	377 23
	380 25
	381 29
	384 30
	386 33
	387 36
	384 38
	381 40
	378 38
	375 35
	372 31
	370 27
	370 24
	368 21
	368 18
	368 15
	368 12
	368 9
	369 6
	371 3
	374 3
	377 3
	380 3
	383 5
	387 7
	390 9
	392 12
	395 16
	396 20
	397 23
	398 27
	399 30
	399 33
	403 34
	406 34
	409 34
	410 31
	410 28
	410 25
	409 21
	407 18
	407 15
	405 12
	404 9
	404 6
	407 6
	410 7
	413 8
	415 11
	418 13
	422 15
	424 19
	427 23
	429 27
	431 30
	433 33
	435 36
	436 33
	436 30
	435 26
	434 22
	434 19
	434 16
	433 13
	432 10
	430 7
	429 4
	426 3
	422 5
	420 8
	419 11
	422 11
	424 8
	427 7
	431 6
	435 6
	438 6
	441 7
	444 9
	447 10
	450 12
	453 14
	456 17
	460 19
	462 22
	464 26
	465 30
	465 33
	465 36
	462 36
	459 35
	456 34
	453 31
	451 28
	448 24
	446 18
	444 15
	444 11
	446 8
	453 5
	456 4
	459 3
	463 2
	466 2
	471 2
	474 2
	477 2
	479 2
.PEN_UP
.PEN_DOWN
	324 59
	328 58
	332 57
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	246 10
	247 14
	250 17
	253 19
	256 22
	259 23
	263 23
	265 20
	265 16
	265 13
	266 10
	266 7
	266 3
	266 0
	268 4
	271 7
	275 11
	281 17
	284 19
	285 23
	288 25
	288 22
	288 19
	287 15
	287 12
	288 9
	288 5
	290 2
	293 0
	296 2
	299 3
	302 5
	305 8
	308 11
	311 13
	312 16
	314 20
	315 23
	316 26
	315 23
	314 19
	313 15
	312 11
	312 7
	313 4
	314 1
	317 0
	320 1
	323 2
	326 5
	327 9
	328 12
	328 15
	328 19
	327 23
	326 27
	325 30
	322 32
	319 31
	317 28
	318 25
	318 22
	321 20
	325 19
	329 19
	332 20
	335 22
	339 24
	344 27
	345 31
	349 32
	351 35
	354 38
	356 42
	357 45
	357 48
	354 46
	353 40
	351 36
	350 31
	350 28
	349 25
	348 21
	348 16
	348 13
	349 8
	353 6
	357 4
	360 4
	362 6
.PEN_UP
.PEN_DOWN
	333 37
	336 39
	339 39
	342 39
	346 39
	350 39
	354 39
	359 38
	363 38
	368 38
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	280 29
	280 32
	279 35
	276 36
	273 33
	270 30
	267 26
	266 21
	265 17
	265 13
	265 9
	266 6
	270 5
	274 5
	279 6
	282 7
	285 10
	288 12
	292 15
	295 18
	297 21
	298 24
	299 28
	299 31
	302 30
	305 30
	309 30
	312 30
	314 27
	314 24
	312 19
	311 16
	309 13
	307 10
	306 6
	306 3
	309 2
	313 3
	316 5
	320 8
	323 9
	326 12
	329 15
	332 19
	334 22
	335 25
	337 28
	338 31
	340 35
	339 32
	339 29
	339 26
	338 23
	338 19
	338 16
	338 12
	338 9
	338 6
	341 5
	344 7
	347 11
	350 15
	354 18
	356 22
	357 25
	362 28
	364 32
	368 37
	368 40
	366 37
	365 34
	362 32
	361 28
	360 24
	358 21
	357 17
	356 13
	356 10
	356 7
	359 7
	362 8
	365 11
	368 13
	370 16
	373 19
	376 22
	377 25
	380 28
	382 32
	385 35
	388 37
	387 34
	386 31
	384 27
	383 24
	382 20
	380 15
	379 12
	375 11
	372 13
	371 16
	372 13
	375 11
	378 9
	381 9
	384 8
	388 8
	392 9
	395 9
	399 11
	404 12
	407 15
	409 20
	413 24
	414 27
	416 30
	417 33
	418 36
	420 43
	421 46
	422 50
	422 53
	423 58
	424 61
	423 64
	420 63
	418 60
	416 57
	415 54
	414 51
	411 46
	409 41
	409 38
	407 34
	406 28
	405 25
	405 21
	405 16
	405 13
	405 9
	405 6
	407 3
	410 3
	411 6
	413 9
	416 12
	417 15
	417 18
	419 21
	421 24
	424 28
	426 24
	425 19
	425 16
	425 12
	425 9
	425 6
	425 3
	427 0
	431 0
	436 0
.PEN_UP
.PEN_DOWN
	291 35
	294 36
	298 38
	303 41
	306 44
	309 46
	312 48
	312 51
	312 54
	311 59
	308 60
	307 57
	306 54
	304 50
	304 45
	302 42
	301 39
	301 35
	301 31
	301 27
	300 23
	300 19
	299 12
	299 7
	299 4
	299 0
	299 3
	299 7
	300 11
	301 15
	304 19
	307 22
	310 23
	313 24
	316 24
	316 20
	315 16
	315 13
	315 9
	316 6
	318 3
	321 1
	324 2
	327 4
	330 6
	333 9
	336 11
	338 15
	341 20
	344 23
	345 26
	344 23
	344 20
	343 17
	343 13
	343 10
	344 7
	347 7
	351 7
	355 9
	358 12
	361 16
	363 19
	365 23
	368 26
	369 29
	369 24
	369 21
	369 17
	369 14
	369 11
	369 7
	369 4
	371 8
	375 10
	377 15
	380 19
	384 22
	387 23
	387 19
	387 15
	387 12
	386 9
	389 9
	392 12
	394 15
	395 18
	399 21
	400 24
	402 27
	405 28
	408 30
	408 27
	408 24
	408 19
	407 16
	407 13
	407 9
	408 6
	411 5
	414 5
	417 6
	421 8
	424 10
	426 13
	429 14
	429 17
.PEN_UP
.PEN_DOWN
	344 49
	349 48
	352 48
	355 47
	358 47
	364 45
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	254 52
	253 49
	253 45
	252 42
	251 38
	251 35
	251 32
	251 29
	254 31
	256 34
	259 36
	260 39
	263 40
	264 43
	265 46
	268 48
	269 51
	271 54
	271 58
	272 61
	275 59
	277 56
	280 54
	284 52
	287 52
	290 52
	292 55
	295 56
	298 57
	294 55
	291 54
	288 52
	285 50
	283 47
	282 44
	281 40
	281 37
	280 34
	283 33
	287 35
	291 39
	293 42
	294 45
	296 48
	297 51
	299 54
	299 51
	299 48
	299 45
	299 42
	299 39
	302 37
	305 38
	308 41
	309 44
	311 47
	313 50
	315 53
	317 57
	320 59
	322 62
	321 59
	320 55
	320 52
	319 49
	318 45
	317 41
	316 38
	315 35
	315 30
	315 26
	314 23
	313 17
	313 14
	312 9
	311 3
	310 0
	310 3
	310 7
	310 11
	311 15
	312 19
	313 23
	314 26
	315 31
	319 36
	321 39
	323 43
	325 46
	327 49
	330 52
	334 55
	337 56
	337 53
	337 50
	336 47
	336 44
	334 41
	334 38
	334 34
	337 34
	341 35
	342 38
	346 39
	346 42
	349 45
	351 48
	354 51
	356 54
	353 51
	351 48
	350 45
	349 42
	350 39
	353 37
	356 38
	360 39
	363 42
	366 46
	368 49
	368 53
	368 56
	367 59
	366 62
	363 63
	359 61
	357 58
	357 55
	358 52
	361 52
	365 52
	368 53
	371 55
	374 56
	377 57
	380 59
	383 59
	385 56
	384 53
	384 50
	383 47
	382 43
	382 40
	385 39
	388 42
	391 45
	393 48
	396 49
	398 53
	399 56
	402 57
	402 60
	402 57
	399 55
	399 52
	398 49
	398 44
	398 41
	398 38
	401 36
	404 38
	407 39
	410 41
	411 44
	412 47
	414 50
	414 53
	414 56
	415 59
	418 59
	421 59
	424 59
	427 58
	427 55
	426 51
	425 48
	424 45
	424 42
	424 38
	428 36
	431 36
	434 36
	439 36
	442 37
	445 37
	447 37
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	266 43
	268 46
	269 49
	269 52
	270 55
	270 58
	267 57
	265 54
	262 52
	260 47
	257 44
	257 41
	256 38
	256 35
	259 33
	262 32
	266 35
	268 39
	269 42
	269 45
	270 48
	273 50
	276 51
	280 53
	283 54
	286 56
	290 58
	293 61
	296 63
	297 67
	297 71
	298 75
	298 79
	297 76
	296 73
	294 68
	293 62
	292 58
	290 53
	289 49
	288 44
	287 39
	285 36
	284 32
	283 28
	282 24
	280 21
	279 14
	279 11
	279 7
	279 4
	279 0
	283 0
	287 4
	290 7
	292 11
	295 16
	296 20
	297 23
	297 26
	294 29
	291 30
	294 31
	299 31
	302 32
	306 32
	311 33
.PEN_UP
.PEN_DOWN
	229 11
	231 15
	234 19
	236 22
	238 25
	241 25
	244 21
	244 18
	245 15
	245 11
	245 7
	245 3
	245 0
	248 1
	250 4
	254 6
	256 9
	259 12
	260 16
	262 19
	263 22
	264 25
	263 22
	262 19
	263 16
	263 13
	264 10
	267 9
	271 9
	273 12
	275 17
	275 20
	275 23
	275 26
	278 28
	282 25
	286 23
	289 21
	292 20
	295 20
	298 21
	294 21
	291 20
	288 18
	286 15
	283 13
	281 10
	280 7
	281 4
	284 3
	287 3
	290 4
	292 7
	295 9
	297 14
	298 17
	295 19
	295 16
	295 13
	298 10
	301 8
	304 10
	306 13
	309 16
	311 20
	312 23
	314 26
	317 30
	320 34
	321 37
	323 41
	324 44
	324 47
	324 50
	324 53
	324 56
	321 53
	321 50
	321 47
	320 43
	319 39
	319 36
	319 33
	318 30
	318 26
	318 23
	318 20
	318 17
	319 14
	320 11
	322 8
	324 5
	327 3
	331 6
	334 9
	336 12
	336 16
	337 19
	337 22
	334 24
	331 22
	330 19
	330 16
	330 13
	331 9
	333 6
	336 6
	339 7
	342 10
	345 13
	348 16
	351 18
	354 19
	355 16
	355 13
	355 9
	357 6
	360 5
	365 4
	370 6
	373 6
	377 7
	378 8
.PEN_UP
.PEN_DOWN
	310 41
	313 41
	316 39
	320 38
	324 37
	327 36
	331 36
	336 36
	342 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	231 26
	234 26
	237 27
	240 29
	244 32
	247 35
	251 38
	254 41
	256 44
	258 47
	258 50
	258 54
	255 55
	252 54
	249 49
	248 46
	246 42
	245 39
	244 33
	244 28
	243 22
	241 18
	241 15
	241 12
	240 8
	240 4
	240 0
	242 3
	244 8
	246 12
	248 15
	251 19
	253 23
	257 25
	258 28
	261 29
	262 26
	261 23
	260 19
	260 15
	260 11
	261 8
	264 6
	267 6
	271 9
	274 12
	277 15
	282 20
	285 24
	288 28
	290 31
	289 27
	288 23
	288 20
	287 16
	287 12
	287 9
	288 6
	291 7
	294 9
	298 12
	299 15
	302 19
	306 23
	308 26
	310 29
	309 26
	308 23
	308 19
	308 16
	307 12
	307 9
	310 11
	314 14
	315 17
	318 20
	321 22
	323 25
	324 22
	324 18
	323 15
	321 11
	321 6
	321 2
	324 1
	327 4
	329 7
	332 10
	335 14
	336 17
	338 20
	341 25
	344 27
	347 30
	346 26
	345 22
	344 15
	344 12
	344 8
	347 6
	350 6
	354 6
	361 7
	364 8
	368 10
	369 10
.PEN_UP
.PEN_DOWN
	293 47
	293 50
	296 50
	299 50
	305 52
	310 52
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	267 51
	265 48
	265 44
	265 41
	265 37
	264 31
	264 28
	264 22
	264 15
	264 10
	265 7
	267 4
	270 3
	273 3
	276 5
	280 7
	283 9
	287 12
	291 16
	293 21
	295 24
	296 32
	297 37
	298 41
	299 45
	299 49
	299 45
	296 43
	296 38
	295 32
	295 29
	295 26
	295 23
	294 19
	293 15
	293 12
	293 8
	293 3
	293 0
	296 3
	297 7
	299 13
	303 17
	305 20
	307 23
	313 25
	314 22
	314 19
	314 16
	312 13
	311 9
	311 5
	312 1
	316 1
	323 3
	326 3
.PEN_UP
.PEN_DOWN
	253 34
	256 36
	259 36
	263 35
	267 34
	271 34
	276 34
	279 34
	284 34
.PEN_UP
.PEN_DOWN
	324 12
	324 9
	324 6
	328 6
	331 6
	335 7
	338 9
	341 11
	344 12
	345 15
	347 18
	347 21
	347 24
	346 27
