


.DATE		Jul. 93
.STYLE		MIXED
.WRITER_ID	kclee
	120 97
	119 100
	118 103
	117 106
	115 109
	114 112
	111 115
	108 116
	106 119
	103 120
	100 121
	97 121
	94 121
	91 120
	88 119
	85 118
	83 115
	84 112
	86 109
	89 107
	92 107
	95 107
	98 107
	101 108
	104 108
	107 108
	110 108
	113 108
	117 109
	120 109
	124 108
	126 108
.PEN_UP
.PEN_DOWN
	148 79
	145 82
	142 83
	139 83
	135 82
	132 80
	129 77
	127 74
	124 70
	123 67
	122 63
	121 60
	121 57
	120 54
	120 51
	122 47
	125 45
	128 44
	132 45
	135 46
	138 48
	141 50
	144 52
	147 55
	149 58
	151 61
	152 64
	153 67
	155 70
	155 73
	156 76
	156 79
	155 76
	154 73
	153 69
	152 66
	152 63
	152 60
	152 57
	153 54
	153 51
	155 48
	158 46
	161 46
	164 46
	167 46
	170 47
	173 49
	176 52
	178 55
	180 58
	183 63
	186 66
	189 69
	191 72
	192 75
	195 78
	197 81
	200 84
	201 81
	201 77
	200 74
	200 70
	200 67
	201 64
	204 61
	207 61
	210 61
	213 62
	217 63
	220 64
	223 66
	226 68
	229 71
	231 74
	232 77
	233 80
	234 83
	231 81
	230 77
	228 72
	226 69
	225 66
	223 62
	222 58
	221 54
	220 50
	218 46
	217 43
	216 38
	215 35
	213 31
	212 27
	209 22
	208 19
	206 16
	204 13
	202 10
	200 7
	197 4
	194 2
	191 1
	187 1
	182 0
	179 0
	176 2
	173 6
	170 12
	169 15
	168 18
	168 21
	168 24
	169 27
	171 30
	174 33
	177 35
	181 38
	184 39
	188 39
	191 39
	194 39
	200 36
	204 34
	208 33
	212 33
	216 33
	220 35
	223 37
	227 39
	231 42
	235 44
	238 47
	241 49
	244 50
.PEN_UP
.PEN_DOWN
	92 90
	91 87
	90 84
	90 80
	89 76
	87 73
	87 69
	85 65
	85 61
	83 56
	81 52
	79 47
	78 44
	75 37
	74 33
	72 29
	70 26
	69 23
	66 19
	62 16
	59 13
	56 10
	53 8
	50 6
	47 6
	45 9
	45 12
	45 16
	46 19
	49 21
	52 21
	54 18
	57 15
	59 12
	62 9
	65 7
	68 6
	71 3
	74 1
	78 0
	81 1
	84 1
	87 1
	91 1
	95 1
	98 2
	101 3
	104 4
	107 5
	110 7
	113 9
	116 11
	119 14
	121 17
	123 20
	125 24
	126 27
	127 30
	128 33
	128 36
	129 41
	130 44
	130 47
	130 50
	129 53
	129 57
	128 61
	127 64
	126 68
	125 72
	123 75
	122 78
	119 81
	116 83
	114 86
	111 88
	108 89
	105 89
	102 89
	99 89
	96 88
	95 85
	97 82
	100 80
	103 78
	106 77
	109 75
	112 75
	115 74
	118 74
	122 73
	125 73
	128 72
	129 72
.PEN_UP
.PEN_DOWN
	160 45
	157 46
	154 47
	151 47
	148 47
	145 44
	142 41
	141 37
	139 33
	139 30
	138 25
	137 21
	137 17
	138 14
	140 11
	143 9
	146 9
	149 9
	153 9
	156 10
	159 11
	162 13
	165 14
	170 17
	173 21
	174 25
	176 28
	177 32
	177 36
	176 39
	173 41
	170 44
	167 45
	167 42
	170 41
	173 41
	176 41
	177 42
.PEN_UP
.PEN_DOWN
	82 85
	81 82
	81 79
	80 76
	79 72
	78 69
	77 65
	76 60
	74 56
	73 52
	71 48
	69 45
	68 41
	65 36
	63 32
	61 29
	59 26
	58 23
	56 20
	54 17
	52 13
	49 10
	45 8
	42 7
	39 7
	36 9
	36 12
	37 15
	38 18
	41 20
	44 20
	46 17
	46 14
	47 11
	49 8
	52 6
	55 5
	58 3
	61 1
	64 0
	67 0
	71 0
	74 0
	77 0
	80 1
	83 2
	87 4
	90 5
	93 7
	96 8
	99 11
	102 14
	104 17
	108 20
	109 23
	111 26
	112 29
	113 32
	115 36
	116 39
	117 43
	117 48
	117 51
	118 54
	118 57
	117 60
	116 63
	115 66
	113 70
	113 73
	111 76
	109 79
	106 82
	106 85
	103 85
	99 88
	96 89
	93 90
	90 91
	87 89
	86 86
	87 83
	90 80
	93 78
	95 75
	98 74
	101 73
	104 72
	107 72
	111 71
	112 70
.PEN_UP
.PEN_DOWN
	130 48
	127 47
	124 46
	121 43
	118 40
	117 36
	115 32
	114 28
	114 25
	115 22
	116 19
	118 15
	121 12
	124 12
	128 13
	132 15
	135 17
	139 19
	142 21
	145 23
	148 26
	149 30
	149 34
	149 37
	149 40
	146 43
	143 43
	140 43
	143 41
	146 39
	149 38
	152 38
	155 38
	158 39
	161 40
	162 40
.PEN_UP
.PEN_DOWN
	170 46
	166 42
	165 39
	163 35
	162 32
	161 28
	161 25
	161 21
	165 20
	169 20
	173 22
	178 26
	181 30
	185 34
	188 37
	191 40
	188 41
	186 38
	184 34
	182 29
	181 26
	180 20
	180 17
	180 14
	181 11
	184 8
	188 7
	191 7
	194 8
	198 9
	201 11
	204 13
	208 17
	210 20
	212 24
	214 28
	215 31
	216 34
	217 37
	217 40
	220 42
	223 41
	225 38
	225 35
	226 32
	226 29
	225 26
	225 23
	224 20
	222 17
	220 13
	218 10
	216 7
	216 10
	219 13
	221 17
	224 20
	226 23
	228 26
	230 29
	233 32
	236 35
	239 37
	242 38
	245 38
	248 37
	248 34
	247 30
	246 27
	246 24
	245 21
	245 18
	245 15
	246 12
	248 9
	251 9
	254 9
	257 9
	260 10
	263 11
	263 12
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	99 63
	96 65
	94 68
	92 71
	89 74
	86 77
	83 80
	80 81
	77 82
	74 82
	71 82
	68 81
	64 80
	61 77
	59 74
	56 69
	54 65
	53 62
	53 59
	53 56
	53 53
	54 50
	57 49
	60 48
	63 48
	66 48
	69 49
	73 50
	77 52
	81 55
	84 57
	87 59
	90 62
	93 65
	95 68
	98 72
	100 75
	101 78
	101 81
	99 78
	98 75
	98 72
	96 69
	95 65
	93 61
	92 58
	91 55
	90 51
	88 47
	87 44
	85 41
	84 38
	83 35
	81 31
	79 27
	78 24
	77 20
	74 17
	73 14
	71 10
	69 7
	66 5
	64 2
	61 1
	58 0
	55 0
	52 0
	49 2
	47 5
	45 8
	43 11
	43 16
	42 19
	42 22
	42 25
	42 28
	43 31
	45 34
	48 37
	52 40
	55 42
	59 44
	63 45
	67 46
	71 47
	75 47
	79 47
	83 47
	87 47
	92 47
	97 49
	102 50
	105 52
	108 53
	111 53
	112 53
.PEN_UP
.PEN_DOWN
	135 50
	132 51
	128 51
	124 51
	120 51
	116 51
	113 50
	109 49
	105 47
	102 44
	98 39
	95 35
	93 31
	92 27
	92 24
	92 21
	94 17
	97 15
	101 13
	105 13
	109 14
	112 15
	117 18
	121 20
	124 23
	127 26
	129 29
	130 34
	131 38
	132 41
	132 44
	133 47
	133 50
	130 47
	130 44
	129 41
	129 38
	130 34
	131 29
	131 26
	132 23
	133 20
	135 16
	138 13
	141 11
	144 11
	147 15
.PEN_UP
.PEN_DOWN
	148 29
	150 33
	153 37
	156 40
	160 42
	163 43
	166 44
	169 43
	170 39
	168 35
	166 30
	164 26
	162 22
	160 18
	158 15
	156 11
	153 8
	154 11
	156 14
	159 18
	162 20
	166 24
	169 27
	173 31
	176 35
	178 38
	180 42
	182 45
	186 47
	189 48
	189 45
	188 42
	187 38
	185 33
	184 29
	182 25
	180 22
	179 19
	177 16
	176 11
	175 8
	175 5
	176 8
	176 11
	178 14
	180 19
	182 22
	183 26
	186 29
	188 32
	190 35
	193 39
	196 41
	198 44
	201 46
	204 47
	205 44
	205 41
	203 37
	202 33
	201 30
	200 25
	200 22
	200 19
	201 16
	203 13
	206 11
	209 11
	212 12
	215 13
	219 15
	222 16
	225 18
	228 21
	231 24
	234 27
	236 30
	238 33
	240 36
	241 39
	242 42
	242 46
	241 49
	240 52
	237 53
	234 53
	231 52
	228 51
	225 49
	223 46
	221 42
	220 39
	219 36
	218 33
	216 29
	216 26
	216 22
	216 19
	217 16
	219 13
	222 10
	225 9
	228 8
	232 8
	235 8
	238 8
	243 9
	246 10
	249 11
	249 12
.PEN_UP
.PEN_DOWN
	99 54
	102 56
	103 59
	104 62
	104 65
	103 68
	102 71
	100 75
	99 78
	97 83
	95 86
	92 87
	87 86
	84 85
	81 84
	78 83
	75 81
	72 79
	71 76
	69 73
	68 70
	66 65
	66 61
	66 58
	66 55
	68 52
	71 51
	74 50
	77 50
	80 51
	83 51
	86 52
	91 54
	94 55
	97 57
	100 59
	103 61
	105 65
	106 68
	107 71
	105 68
	103 65
	102 61
	100 58
	98 54
	96 50
	95 46
	93 43
	92 40
	90 37
	89 34
	88 31
	85 25
	84 22
	82 19
	80 16
	78 12
	74 9
	72 6
	69 4
	66 3
	63 1
	60 1
	57 1
	54 3
	53 6
	52 9
	52 12
	51 15
	51 18
	51 21
	52 25
	52 28
	53 31
	53 34
	53 37
	54 40
	57 43
	60 45
	64 46
	67 46
	70 46
	73 46
	76 45
	80 44
	84 42
	87 42
	90 41
	93 41
	98 41
	101 41
	104 42
	107 42
	110 43
	111 43
.PEN_UP
.PEN_DOWN
	92 10
	96 12
	99 14
	102 16
	105 19
	110 24
	113 28
	116 32
	119 35
	121 38
	124 41
	127 44
	124 45
	121 42
	119 38
	118 35
	117 32
	116 28
	114 25
	113 22
	113 19
	112 16
	112 13
	114 10
	117 8
	120 8
	123 9
	126 11
	129 12
	132 15
	135 17
	138 19
	141 22
	144 26
	147 30
	148 33
	150 37
	153 40
	155 43
	152 40
	150 36
	149 33
	148 30
	148 27
	147 23
	146 20
	146 17
	146 13
	146 9
	147 5
	148 2
	151 0
	154 0
	157 2
	161 5
	165 9
	168 12
	171 16
	174 20
	175 23
	177 26
	178 29
	179 32
	179 35
	180 38
	180 41
	181 44
	181 41
	182 38
	186 37
	189 37
	192 38
	194 41
	191 42
	190 41
.PEN_UP
.PEN_DOWN
	198 27
	201 25
	204 25
	208 24
	212 24
	216 24
	220 24
	223 25
	227 26
	231 29
	235 32
	237 35
	237 38
	235 41
	232 43
	229 45
	226 46
	223 46
	220 46
	217 45
	214 44
	211 42
	208 40
	206 37
	203 32
	202 28
	201 25
	200 22
	200 19
	200 16
	201 12
	204 9
	207 8
	211 7
	215 6
	220 6
	224 6
	227 7
	231 8
	234 9
	237 10
	240 12
	243 14
.PEN_UP
.PEN_DOWN
	128 65
	130 62
	132 59
	135 57
	136 57
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	58 100
	61 97
	63 94
	64 91
	65 88
	65 84
	65 81
	65 77
	65 73
	64 69
	64 66
	63 63
	62 56
	62 53
	61 50
	60 47
	59 44
	57 39
	56 34
	54 29
	53 26
	50 20
	48 17
	47 14
	44 9
	42 6
	40 3
	39 0
	38 3
	40 6
	40 8
.PEN_UP
.PEN_DOWN
	117 97
	116 91
	115 86
	114 83
	113 78
	112 73
	111 68
	110 65
	109 60
	108 57
	106 53
	105 48
	103 45
	102 42
	101 39
	100 36
	99 33
	100 36
	101 39
	101 42
	101 45
	101 48
	101 51
	101 54
	100 58
	98 61
	96 64
	93 67
	90 69
	87 70
	84 71
	81 71
	78 69
	75 68
	72 65
	69 63
	69 60
	69 57
	70 54
	73 52
	76 51
	79 49
	83 46
	86 43
	89 40
	92 38
	99 38
	103 38
	107 39
	110 39
.PEN_UP
.PEN_DOWN
	151 46
	152 49
	151 52
	150 55
	148 58
	146 61
	143 62
	140 62
	137 62
	134 62
	131 60
	128 58
	125 54
	122 52
	120 49
	119 45
	117 40
	116 36
	116 33
	117 29
	118 26
	122 24
	126 25
	130 26
	133 28
	136 31
	139 33
	142 36
	144 39
	147 43
	149 46
	150 49
	151 52
	152 55
	152 58
	152 55
	151 52
	150 49
	149 46
	149 43
	148 40
	149 37
	149 34
	149 31
	150 28
	152 25
	155 25
	158 26
	161 28
	164 29
	167 31
	170 35
	172 38
	174 42
	175 45
	177 48
	180 52
	181 55
	182 58
	183 61
	185 64
	187 67
	189 70
	190 67
	190 64
	191 61
	191 58
	193 55
	194 52
	197 48
	198 45
	199 42
	199 38
	199 35
	199 32
	196 31
	193 32
	190 32
	187 33
	184 33
	180 34
	177 34
	174 36
	171 37
	174 36
	177 35
	180 34
	184 32
	187 31
	190 30
	193 29
	196 28
	199 28
	202 28
	206 28
.PEN_UP
.PEN_DOWN
	56 109
	59 108
	62 106
	63 103
	65 100
	65 97
	66 93
	66 89
	66 85
	65 80
	64 75
	63 70
	62 66
	61 61
	59 57
	58 54
	56 50
	53 46
	52 43
	49 41
	48 38
	45 37
	44 37
.PEN_UP
.PEN_DOWN
	114 97
	113 94
	112 91
	111 88
	110 83
	110 80
	109 77
	108 74
	107 70
	105 66
	103 61
	102 58
	101 55
	100 52
	98 48
	96 43
	95 39
	93 35
	91 31
	90 28
	89 25
	91 28
	92 31
	95 35
	97 38
	97 41
	99 44
	100 47
	100 50
	101 53
	101 56
	101 59
	101 62
	101 65
	100 68
	98 71
	97 74
	95 77
	92 80
	89 81
	86 82
	83 83
	80 84
	77 85
	74 84
	71 82
	68 81
	65 79
	64 76
	64 73
	65 70
	68 68
	71 66
	73 63
	76 60
	79 59
	82 58
	85 56
	88 54
	91 53
	94 52
	97 51
	100 51
	103 51
	106 52
	109 52
	112 53
	115 53
	118 55
	121 55
	124 57
	127 58
	130 59
	133 61
	133 64
	133 67
	130 69
	127 70
	124 70
	121 70
	118 68
	117 65
	115 62
	114 59
	113 56
	112 53
	112 50
	112 47
	112 44
	112 41
	112 38
	113 35
	116 33
	119 32
	122 32
	126 33
	129 33
	132 33
	135 34
	138 36
	141 37
	144 39
	148 42
	151 45
	154 49
	156 52
	158 55
	160 59
	163 62
	166 66
	168 69
	170 73
	171 76
	173 80
	174 83
	175 86
	176 89
	178 93
	178 96
	179 100
	180 103
	180 106
	179 109
	176 111
	173 111
	170 109
	167 106
	164 104
	162 101
	161 98
	159 95
	158 89
	156 86
	155 82
	154 78
	153 75
	152 70
	151 66
	150 61
	149 57
	149 54
	149 51
	149 48
	149 45
	152 42
	156 41
	159 41
	162 42
	167 43
	170 44
.PEN_UP
.PEN_DOWN
	187 66
	185 61
	182 57
	181 54
	180 51
	178 48
	177 45
	175 42
	173 39
	172 35
	169 29
	166 23
	164 18
	161 13
	159 9
	158 6
	156 3
	154 0
	153 3
	154 6
	156 9
	157 12
	158 15
	159 19
	161 23
	163 26
	165 30
	169 34
	171 37
	173 40
	176 44
	178 47
	180 50
	183 53
	186 55
	189 57
	192 58
	195 59
	198 59
	202 59
	205 58
	208 57
	210 52
	211 49
	211 46
	211 42
	210 37
	208 33
	205 29
	203 26
	200 23
	196 20
	192 18
	188 18
	184 21
	180 26
	179 30
	178 33
	176 37
	175 40
	173 42
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	60 21
	57 24
	54 27
	53 30
	52 33
	51 36
	51 39
	51 42
	51 45
	51 48
	51 52
	52 55
	53 58
	54 61
	54 64
	57 67
	59 70
	62 73
	65 76
	68 77
	71 73
	72 70
	73 67
	73 64
	74 60
	74 57
	74 54
	74 51
	74 48
	74 44
	73 40
	72 35
	71 31
	70 28
	69 24
	67 20
	66 17
	64 13
	61 9
	60 6
	57 3
	54 2
	50 1
	47 0
	44 1
	40 5
	38 10
.PEN_UP
.PEN_DOWN
	86 32
	89 32
	93 32
	97 33
	100 34
	103 35
	107 37
	110 39
	113 40
	116 42
	118 45
	119 48
	122 52
	123 55
	124 58
	125 61
	125 64
	125 67
	125 70
	124 73
	121 75
	118 75
	115 74
	113 71
	110 68
	109 65
	107 62
	105 57
	104 53
	102 49
	100 46
	99 43
	98 40
	95 35
	94 32
	92 29
	90 26
	88 22
	86 17
	85 14
	85 11
	85 8
	85 5
	88 4
	91 5
	94 7
	97 8
	100 10
	103 12
	106 13
	108 16
	108 19
	108 22
	107 25
	106 28
	103 30
	100 31
	103 31
	106 31
	110 30
	113 30
	117 30
	121 30
	125 30
	129 30
	132 30
	135 30
	135 33
	132 35
.PEN_UP
.PEN_DOWN
	68 22
	65 22
	62 22
	58 24
	55 27
	54 30
	52 34
	51 37
	51 40
	50 44
	49 48
	48 51
	48 55
	48 59
	48 62
	49 66
	50 69
	52 72
	53 75
	56 77
	59 78
	62 79
	66 79
	69 78
	72 75
	74 72
	75 69
	76 66
	77 63
	77 60
	77 56
	77 53
	78 50
	78 47
	78 44
	78 40
	77 37
	77 34
	76 30
	75 27
	74 23
	73 20
	72 17
	71 14
	69 11
	66 8
	64 5
	61 3
	58 1
	54 0
	51 0
	48 1
	45 2
	42 5
	42 8
.PEN_UP
.PEN_DOWN
	80 0
	83 3
	86 5
	88 8
	91 11
