


.DATE		Jul. 93
.STYLE		MIXED
.WRITER_ID	kclee
	248 47
	246 43
	244 39
	242 36
	240 33
	238 30
	235 27
	233 24
	230 21
	228 18
	225 16
	222 15
	222 18
	225 21
.PEN_UP
.PEN_DOWN
	300 82
	299 79
	297 76
	295 73
	292 69
	289 65
	286 62
	283 59
	280 56
	277 54
	274 51
	271 50
	268 48
	265 47
	262 45
	259 44
	256 43
	253 44
	251 47
	251 50
	253 53
	256 54
	259 55
	262 52
	263 48
	264 45
	264 41
	264 38
	265 35
	265 32
	266 29
	266 26
	267 23
	268 20
	269 17
	272 14
	275 12
	278 11
	281 11
	284 12
	287 13
	291 15
	292 16
.PEN_UP
.PEN_DOWN
	54 79
	57 80
	60 81
	63 81
	65 84
	68 84
	70 81
	70 77
	70 74
	69 71
	69 67
	68 63
	67 59
	66 56
	65 51
	63 46
	62 43
	60 40
	60 37
	57 31
	56 28
	54 23
	53 20
	51 16
	50 12
	48 9
	46 6
	46 9
	46 12
	47 13
.PEN_UP
.PEN_DOWN
	83 80
	87 82
	90 83
	94 83
	97 83
	100 82
	102 79
	103 75
	103 70
	103 67
	103 63
	102 60
	101 57
	100 53
	98 49
	96 46
	93 44
	90 41
	87 39
	83 39
	80 40
	77 41
	74 43
	71 44
	71 47
	74 49
	77 49
	80 49
	83 49
	86 48
	88 44
	90 41
	91 38
	92 34
	93 31
	93 28
	93 25
	92 21
	91 18
	90 15
	89 12
	87 9
	84 7
	81 5
	78 3
	75 3
	70 4
	67 6
	64 7
	61 10
	58 13
	55 16
	53 20
	53 21
.PEN_UP
.PEN_DOWN
	160 67
	159 70
	157 73
	154 75
	151 76
	148 77
	145 77
	142 76
	139 74
	136 73
	133 70
	130 67
	127 63
	125 60
	123 57
	121 54
	120 50
	119 46
	117 42
	116 39
	115 35
	114 31
	114 27
	114 23
	114 20
	114 17
	114 13
	114 9
	115 6
	117 3
	120 1
	123 0
	126 0
	129 1
	132 2
	135 4
	138 5
	141 7
	144 9
	147 11
	149 14
	152 18
	154 21
	156 25
	158 29
	160 35
	162 38
	163 41
	164 45
	165 48
	165 52
	165 56
	166 59
	166 62
	166 65
	166 68
	164 71
	162 74
	159 74
	156 74
	154 71
	154 68
	154 65
	156 62
	158 59
	161 59
	164 60
	167 61
	170 63
	173 65
	176 68
	179 70
	182 72
	185 74
	188 75
	191 77
	194 76
	196 73
	199 71
	202 71
	205 71
	208 72
	211 73
	214 74
	217 74
	220 75
	222 78
	219 76
	218 73
	217 70
	215 67
	214 64
	214 61
	213 58
	211 54
	210 51
	208 48
	207 45
	205 42
	204 39
	203 36
	201 32
	200 29
	198 26
	196 23
	194 20
	191 17
	188 15
	185 15
	182 15
	179 15
	176 16
	173 20
	171 23
.PEN_UP
.PEN_DOWN
	236 74
	239 75
	242 75
	245 72
	245 69
	245 66
	244 63
	244 60
	242 56
	241 53
	240 50
	238 47
	236 44
	235 41
	233 38
	231 35
	228 32
	226 29
	224 26
	222 23
	219 21
	216 18
	215 21
.PEN_UP
.PEN_DOWN
	290 71
	287 67
	284 64
	282 61
	279 57
	277 52
	274 49
	272 45
	270 41
	267 37
	265 33
	262 28
	261 24
	260 21
	259 18
	258 15
	257 12
	260 14
	261 17
	262 21
	264 24
	265 28
	266 31
	267 34
	267 37
	268 40
	268 43
	268 46
	268 49
	266 52
	264 55
	262 58
	259 60
	256 61
	253 61
	250 60
	248 57
	247 54
	246 51
	247 48
	249 45
	252 43
	255 41
	258 40
	261 39
	264 38
	267 38
	270 38
	273 38
	277 38
	280 39
	284 39
	285 41
.PEN_UP
.PEN_DOWN
	48 77
	50 74
	51 70
	51 67
	50 63
	49 60
	46 52
	45 49
	44 46
	43 43
	41 40
	40 37
	36 32
	33 28
	30 24
	28 21
	26 18
	24 15
	23 18
	24 19
.PEN_UP
.PEN_DOWN
	53 73
	56 75
	59 75
	63 75
	67 74
	70 73
	73 71
	76 68
	78 65
	79 62
	79 58
	79 55
	78 51
	77 48
	75 44
	73 41
	70 38
	68 35
	65 34
	62 33
	59 33
	56 33
	53 34
	50 35
	46 37
	43 39
	43 42
	46 44
	50 45
	53 45
	56 44
	59 41
	60 38
	60 35
	61 32
	62 29
	62 25
	62 22
	61 19
	60 16
	59 13
	56 11
	53 9
	50 7
	46 6
	43 6
	39 6
	36 7
	32 9
	30 12
	29 16
	28 20
	28 24
	31 27
.PEN_UP
.PEN_DOWN
	101 68
	100 65
	98 62
	97 58
	94 51
	93 48
	91 45
	89 40
	88 37
	87 32
	85 27
	85 23
	85 18
	85 14
	85 11
	85 8
	86 5
	88 1
	91 0
	94 0
	97 0
	100 1
	103 3
	106 5
	110 8
	113 11
	116 14
	120 18
	121 21
	124 26
	126 31
	129 36
	131 41
	133 45
	135 49
	136 55
	137 58
	138 61
	138 64
	139 67
	136 65
	135 62
	133 59
	131 55
	129 51
	128 48
	126 44
	126 41
	124 37
	124 34
	123 30
	123 26
	122 22
	122 17
	122 13
	123 10
	123 7
	125 4
	128 3
	131 6
	132 8
.PEN_UP
.PEN_DOWN
	149 69
	152 68
	155 67
	159 66
	163 65
	166 64
	169 63
	174 62
	177 62
	180 61
	183 61
	186 60
	189 60
	192 59
	196 59
	199 59
	202 59
	199 61
	195 62
.PEN_UP
.PEN_DOWN
	175 64
	174 61
	173 58
	172 54
	172 51
	171 48
	168 40
	167 37
	166 33
	165 30
	164 26
	162 23
	162 20
	161 17
	160 12
	159 7
	159 4
	158 1
	158 4
	157 5
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	72 73
	71 69
	70 66
	70 62
	69 59
	68 54
	67 50
	66 47
	65 44
	64 41
	63 37
	61 33
	59 29
	57 26
	55 22
	53 19
	51 15
	48 12
	46 9
	43 9
	40 12
	38 15
	38 18
	41 20
	44 20
	47 19
	49 16
	51 13
	54 10
	57 7
	60 4
	63 2
	66 0
	69 0
	72 0
	76 0
	79 0
	82 1
	85 2
	88 3
	91 5
	95 7
	98 10
	101 12
	103 15
	105 18
	106 22
	108 26
	110 30
	112 34
	113 37
	114 41
	114 47
	115 50
	115 54
	115 58
	115 62
	114 66
	113 71
	113 74
	111 77
	109 80
	106 82
	103 85
	100 87
	97 89
	93 89
	90 89
	87 89
	84 88
	81 88
	78 86
	75 84
	75 81
	76 78
	80 75
	84 73
	89 72
	94 72
	97 72
	100 72
	108 72
	110 72
.PEN_UP
.PEN_DOWN
	166 78
	163 80
	159 82
	156 82
	153 82
	150 82
	145 81
	142 79
	138 75
	134 70
	133 67
	132 64
	130 61
	128 55
	127 52
	125 47
	125 44
	124 41
	124 37
	124 34
	125 30
	127 26
	129 23
	132 20
	135 17
	139 16
	142 15
	148 14
	151 14
	154 15
	157 16
	161 18
	165 20
	170 26
	172 29
	174 32
	175 35
	178 40
	180 44
	181 47
	183 52
	183 55
	182 58
	182 61
	181 64
	180 68
	178 72
	175 74
	172 74
	172 73
.PEN_UP
.PEN_DOWN
	73 74
	72 71
	71 67
	69 62
	68 59
	67 56
	66 53
	64 50
	63 45
	60 38
	59 35
	57 32
	55 28
	53 25
	53 22
	50 17
	48 13
	46 9
	44 5
	43 2
	42 6
	43 10
.PEN_UP
.PEN_DOWN
	70 65
	73 66
	77 67
	81 68
	85 68
	89 68
	92 68
	96 67
	99 65
	102 62
	104 59
	107 55
	108 48
	108 43
	108 40
	108 35
	106 31
	105 28
	103 23
	100 17
	96 13
	93 10
	90 8
	86 6
	81 5
	78 4
	73 3
	68 3
	64 3
	60 4
	56 5
	53 7
	50 10
	49 13
	49 17
.PEN_UP
.PEN_DOWN
	141 60
	137 61
	133 60
	130 59
	127 57
	123 54
	121 51
	118 46
	116 41
	115 38
	114 34
	113 31
	113 28
	113 25
	113 22
	113 17
	114 12
	116 8
	118 5
	121 3
	124 1
	128 1
	134 2
	138 4
	142 7
	145 8
	147 11
	151 15
	155 20
	160 27
	161 30
	162 33
	163 38
	163 41
	163 44
	163 47
	163 50
	162 53
	161 56
	158 60
	154 62
	150 64
	146 65
	143 65
	140 63
	138 59
	138 56
.PEN_UP
.PEN_DOWN
	182 58
	180 54
	177 49
	175 46
	174 43
	173 39
	171 34
	170 31
	169 26
	169 22
	169 19
	171 16
	174 15
	177 17
	180 20
	183 23
	187 27
	191 31
	193 34
	196 36
	198 39
	202 43
	205 47
	208 50
	208 53
	208 56
	205 56
	200 51
	197 47
	196 44
	193 39
	191 35
	190 31
	189 28
	188 24
	188 20
	187 16
	187 12
	188 8
	189 5
	191 2
	194 0
	198 0
	201 0
	205 1
	209 3
	213 7
	216 9
	219 12
	221 15
	223 18
	225 21
	228 25
	230 30
	232 34
	234 39
	236 43
	237 48
	240 56
	240 59
	240 62
	239 66
	237 69
	233 71
	228 72
	224 70
	221 67
	221 65
.PEN_UP
.PEN_DOWN
	250 62
	253 63
	256 65
	259 65
	262 65
	265 65
	268 62
	268 59
	267 56
	264 52
	262 49
	257 41
	254 37
	252 34
	250 31
	247 27
	245 24
	244 21
	241 18
	239 15
	237 10
	235 7
	233 11
	236 17
	238 20
	240 23
	244 26
	248 30
	253 35
	256 37
	258 40
	263 44
	267 48
	270 50
	273 52
	276 53
	279 54
	282 55
	283 52
	283 49
	282 46
	282 43
	280 40
	278 37
	276 34
	274 31
	271 27
	269 23
	267 20
	266 17
	264 13
	263 10
	265 7
	268 6
	271 6
	274 7
	277 8
	279 10
.PEN_UP
.PEN_DOWN
	46 69
	51 70
	54 71
	57 71
	62 73
	65 73
	68 73
	71 74
	76 75
	81 76
	84 76
	84 79
	81 79
.PEN_UP
.PEN_DOWN
	50 66
	49 63
	48 60
	45 54
	44 51
	42 48
	41 45
	39 42
	38 39
	36 36
	35 33
	32 28
	31 25
	30 22
	29 19
	29 16
	32 15
	36 16
	39 17
	43 17
	48 19
	53 20
	57 20
	62 21
	65 21
	69 22
	72 22
	73 25
	72 25
.PEN_UP
.PEN_DOWN
	37 38
	41 39
	46 39
	49 39
	52 40
	55 40
	62 41
	66 42
	69 42
	72 43
	70 44
.PEN_UP
.PEN_DOWN
	110 79
	108 76
	108 73
	106 67
	105 61
	103 58
	102 54
	101 50
	99 46
	98 42
	96 37
	94 33
	93 29
	92 25
	89 18
	88 15
	88 12
	86 8
	84 4
	84 1
	84 5
	85 10
.PEN_UP
.PEN_DOWN
	115 77
	116 73
	117 70
	118 66
	119 63
	120 60
	122 55
	125 50
	127 45
	128 40
	129 35
	130 31
	131 28
	131 24
	131 20
	131 17
	132 14
	132 11
	132 14
.PEN_UP
.PEN_DOWN
	103 39
	107 39
	111 39
	114 39
	117 39
	121 39
	125 39
	128 38
	130 37
.PEN_UP
.PEN_DOWN
	186 67
	183 70
	181 73
	178 73
	175 75
	172 77
	169 78
	165 78
	162 77
	159 75
	156 72
	154 67
	152 62
	151 59
	150 56
	149 53
	148 50
	148 47
	147 44
	146 40
	145 37
	145 34
	144 28
	144 25
	144 22
	144 19
	146 16
	148 13
	152 11
	160 11
	163 11
	166 11
	170 12
	173 13
	178 14
	181 16
	185 21
.PEN_UP
.PEN_DOWN
	208 77
	207 73
	205 68
	205 65
	204 61
	201 53
	200 48
	199 44
	198 40
	197 36
	196 32
	195 28
	194 25
	194 22
	192 18
	191 12
	190 9
	189 6
	188 10
	189 13
.PEN_UP
.PEN_DOWN
	203 48
	206 48
	209 48
	213 48
	217 48
	221 48
	224 48
	228 48
	232 49
	235 50
	238 50
	235 51
	234 51
.PEN_UP
.PEN_DOWN
	247 79
	246 76
	245 73
	245 70
	243 65
	240 58
	240 55
	239 52
	237 47
	236 44
	235 41
	234 38
	233 35
	232 32
	232 29
	231 26
	230 22
	229 19
	229 15
	229 11
	229 7
	229 4
	230 0
	229 3
	228 6
	227 10
	226 11
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	76 69
	76 72
	74 75
	71 76
	68 77
	65 76
	62 76
	59 74
	55 72
	52 70
	50 67
	48 63
	47 60
	47 57
	46 53
	46 49
	46 46
	46 43
	47 40
	49 37
	52 35
	55 33
	58 32
	61 32
	65 33
	68 35
	71 37
	73 40
	73 43
	72 46
	69 46
	66 46
	63 46
	60 45
	57 44
	54 42
	52 39
	50 36
	47 33
	46 30
	45 27
	44 24
	43 21
	43 17
	43 14
	43 11
	43 7
	44 4
	47 1
	50 1
	53 0
	56 0
	59 1
	62 1
	65 2
	68 3
	71 3
	74 4
	77 5
	80 5
.PEN_UP
.PEN_DOWN
	92 72
	95 73
	99 72
	102 70
	103 67
	104 64
	104 61
	104 58
	103 55
	102 52
	102 49
	101 46
	101 43
	100 40
	99 37
	98 34
	97 31
	96 28
	94 24
	93 20
	93 16
	92 13
	93 10
	94 7
	97 6
	100 6
	103 6
	106 4
	109 5
	112 7
	115 11
	117 14
	119 17
	123 20
	126 24
	129 27
	130 31
	132 34
	133 38
	135 41
	137 45
	138 48
	139 54
	141 58
	142 61
	143 64
	144 67
	145 70
	142 68
	141 65
	140 62
	140 59
	141 56
	144 54
	147 54
	150 56
	151 57
.PEN_UP
.PEN_DOWN
	203 59
	203 62
	200 65
	196 68
	193 69
	190 70
	187 70
	184 71
	181 70
	178 69
	175 69
	171 67
	168 66
	165 63
	162 60
	161 57
	159 54
	158 51
	158 48
	157 45
	157 40
	159 37
	162 34
	165 32
	168 32
	171 32
	174 32
	177 33
	180 34
	183 36
	183 39
	182 43
	179 45
	175 45
	172 44
	169 43
	166 42
	164 39
	160 35
	159 32
	158 29
	156 26
	155 22
	155 19
	155 15
	155 12
	157 9
	160 7
	163 5
	166 4
	169 3
	172 2
	175 1
	179 1
	182 2
	185 3
	188 4
	191 5
	194 6
	197 8
	200 9
	200 11
.PEN_UP
.PEN_DOWN
	233 60
	233 57
	232 54
	230 51
	229 47
	227 42
	225 38
	222 32
	219 27
	216 23
	212 18
	209 14
	207 10
	204 7
	201 4
	199 1
	200 4
	202 8
	205 12
	208 16
	210 20
	212 23
	215 26
	217 30
	219 34
	223 39
	226 43
	229 46
	231 49
	234 52
	237 54
	240 57
	244 60
	247 63
	250 64
	253 65
	257 66
	260 66
	263 66
	266 66
	269 65
	272 62
	272 59
	272 56
	271 53
	269 48
	268 44
	267 41
	265 38
	264 34
	262 31
	259 27
	256 24
	253 23
	250 22
	247 21
	242 21
	239 21
	235 22
	232 23
	230 26
	228 29
	228 32
	229 35
	232 37
	235 38
	238 37
	241 36
	242 33
	242 30
	242 27
	243 24
	242 21
	242 18
	242 15
	242 12
	243 9
	244 6
	247 3
	250 3
	254 4
	257 4
	261 4
	264 5
	266 6
.PEN_UP
.PEN_DOWN
	290 64
	293 66
	296 68
	299 69
	302 69
	305 69
	307 66
	308 63
	308 58
	310 55
	312 52
	315 51
	319 51
	322 52
	325 53
	328 54
	331 56
	334 58
	337 61
	340 64
	341 67
	343 70
	340 69
	339 66
	337 62
	336 59
	334 56
	332 52
	331 49
	329 45
	326 40
	325 36
	323 33
	322 29
	320 26
	319 23
	317 20
	315 16
	313 13
	312 10
	310 7
	308 4
	305 2
	302 1
	299 1
	296 1
	293 1
	290 2
	288 5
	286 8
	285 11
	283 14
	283 17
	283 20
	283 23
	286 27
	289 29
	292 31
	295 32
	298 32
	301 32
	304 31
	308 31
	311 32
	314 32
	317 32
	320 32
	323 32
	327 31
	331 29
	334 28
	338 27
	342 26
	345 26
	349 26
	352 26
	358 28
	361 28
	363 29
.PEN_UP
.PEN_DOWN
	52 78
	56 77
	61 77
	66 77
	71 77
	75 77
	79 77
	83 78
	86 78
	90 78
	87 79
.PEN_UP
.PEN_DOWN
	53 70
	53 67
	53 64
	52 60
	51 56
	50 53
	48 46
	47 41
	45 36
	45 33
	44 30
	42 25
	41 22
	38 15
	37 12
	35 9
	34 6
	32 2
	31 4
.PEN_UP
.PEN_DOWN
	45 26
	48 27
	52 27
	56 28
	59 28
	63 28
	66 28
	70 28
	75 28
	78 28
	81 29
	82 31
.PEN_UP
.PEN_DOWN
	126 75
	124 71
	122 66
	120 61
	118 58
	117 55
	116 51
	112 44
	111 40
	109 36
	108 32
	106 28
	104 25
	103 21
	101 18
	99 13
	96 7
	94 4
	92 0
	90 0
.PEN_UP
.PEN_DOWN
	131 67
	132 63
	133 59
	133 55
	134 50
	135 44
	136 39
	137 36
	138 33
	139 28
	141 24
	141 21
	141 18
	141 14
	141 10
	139 10
.PEN_UP
.PEN_DOWN
	122 37
	125 37
	130 37
	133 37
	137 37
	140 36
	142 35
.PEN_UP
.PEN_DOWN
	198 61
	196 64
	194 67
	191 70
	188 73
	185 75
	181 75
	175 75
	172 74
	169 72
	166 71
	163 67
	161 63
	161 60
	162 57
	165 55
	171 52
	174 49
	177 46
	180 43
	183 39
	185 35
	187 32
	189 28
	190 25
	190 22
	189 18
	188 15
	185 12
	182 10
	178 9
	175 9
	171 10
	167 11
	163 13
	160 15
	158 18
	157 21
	158 24
	159 27
.PEN_UP
.PEN_DOWN
	206 68
	209 67
	213 67
	217 66
	221 65
	224 65
