


.DATE		Aug. 92
.STYLE		PRINTED
.WRITER_ID	scoh
	75 72
	74 67
	74 64
	73 59
	73 56
	72 52
	71 49
	71 45
	70 41
	70 38
	70 35
	71 32
	73 28
	76 26
	79 26
	82 27
	86 30
	91 32
	95 34
	98 35
	100 38
	103 40
	107 45
	108 50
	112 53
	113 57
	116 60
	117 64
	119 67
	121 70
	121 74
	123 78
	123 82
	122 85
	119 86
	116 86
	113 85
	111 82
	109 79
	106 75
	103 68
	100 65
	99 60
	96 57
	95 52
	94 49
	92 46
	91 42
	90 39
	88 36
	86 32
	83 28
	82 23
	80 19
	78 16
	77 12
	76 9
	76 12
	79 15
	80 18
	83 21
	84 24
	86 28
	89 31
	92 35
	95 37
	99 40
	102 41
	105 43
	107 40
	107 37
	106 34
	106 30
	106 27
	107 24
	107 21
	110 20
	113 19
	116 21
	118 24
	121 26
	124 30
	126 33
	129 36
	132 38
	135 41
	139 44
	138 41
	136 38
	135 35
	134 32
	134 29
	134 26
	137 26
	140 25
	142 28
	145 29
	147 33
	149 36
	152 39
	155 41
	157 44
	161 47
	164 49
	167 51
	170 53
	171 50
	170 46
	169 43
	167 39
	165 36
	161 32
	158 28
	161 32
	164 34
	165 37
	169 40
	171 43
	174 44
	176 47
	179 48
	180 45
	180 42
	180 39
	180 36
	180 33
	183 32
	186 32
	189 32
	192 34
	195 35
	197 38
	201 40
	203 43
	206 46
	207 49
	204 48
	202 45
	199 43
	197 40
	194 37
	192 34
	193 31
	197 34
	200 38
	201 41
	204 43
	202 39
	199 35
	197 31
	196 27
	194 23
	193 19
	190 16
	188 13
	186 9
	184 6
	180 3
	177 2
	174 0
	171 0
	170 3
	170 7
	171 10
	173 13
	176 16
	180 19
	183 23
	187 26
	190 29
	194 31
	197 32
	201 35
	204 36
	207 37
	210 38
	214 39
	217 39
	220 39
	221 39
.PEN_UP
.PEN_DOWN
	48 53
	53 54
	56 55
	59 55
	64 57
	68 57
	72 58
	77 60
	81 61
	85 61
	88 61
	87 61
.PEN_UP
.PEN_DOWN
	130 59
	133 57
	134 56
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 17
	56 20
	61 21
	64 22
	69 26
	73 29
	76 32
	79 34
	82 38
	86 42
	89 45
	91 49
	91 52
	91 55
	91 58
	89 61
	87 64
	84 65
	81 63
	78 61
	76 58
	75 54
	73 49
	72 45
	70 41
	69 38
	69 35
	66 33
	65 26
	64 22
	63 19
	63 16
	61 11
	60 8
	58 3
	58 0
	60 3
	62 6
	64 10
	67 16
	70 19
	71 22
	74 24
	77 26
	80 27
	83 26
	83 22
	83 17
	83 13
	84 10
	88 8
	91 8
	97 8
	101 11
	106 13
	109 17
	112 20
	114 23
	115 26
	111 28
	108 27
	104 26
	102 23
	101 19
	101 16
	104 12
	106 9
	109 7
	112 7
	115 7
	119 9
	122 11
	127 11
.PEN_UP
.PEN_DOWN
	50 0
	53 2
	55 5
	60 9
	64 13
	67 17
	69 20
	71 23
	75 26
	76 29
	76 25
	75 22
	74 19
	74 16
	73 13
	73 10
	74 7
	77 7
	81 10
	84 12
	89 14
	92 16
	96 18
	99 19
	102 21
	104 24
	107 26
	110 29
	113 31
	112 28
	112 24
	110 20
	109 16
	109 13
	106 11
	105 8
	101 5
	98 3
	95 3
	92 1
	89 1
	86 2
	83 4
	82 7
	82 11
	86 14
	88 15
.PEN_UP
.PEN_DOWN
	63 43
	63 40
	65 37
	67 34
	70 34
	71 34
.PEN_UP
.PEN_DOWN
	63 25
	61 22
	60 19
	57 16
	55 13
	52 9
	51 4
	49 1
	52 0
	53 3
	56 4
	58 7
	59 10
	63 17
	65 21
	66 24
	66 21
	66 18
	66 14
	67 11
	68 8
	72 6
	75 6
	78 6
	81 7
	83 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	45 1
	48 4
	51 7
	55 12
	57 15
	60 19
	66 25
	69 28
	72 32
	74 36
	75 39
	78 42
	79 46
	82 49
	82 52
	83 55
	82 52
	82 49
	80 46
	79 41
	78 37
	77 32
	76 28
	75 25
	75 21
	75 17
	77 13
	78 10
	82 8
	85 8
	89 8
	92 9
	96 11
	99 12
	106 15
	109 19
	112 21
	115 24
	119 30
	122 33
	125 39
	128 42
	130 45
	133 49
	134 52
	134 55
	135 59
	135 63
	133 66
	130 66
	127 65
	124 64
	121 62
	117 59
	117 56
	114 54
	113 49
	110 46
	108 41
	107 36
	105 32
	101 28
	100 24
	97 22
	96 19
	94 15
	92 11
	90 8
	90 5
	94 7
	97 11
	99 14
	102 15
	105 18
	108 20
	111 22
	114 22
	115 19
	114 16
	114 13
	115 10
	117 7
	121 7
	124 7
	127 7
	130 8
	133 10
	137 12
	141 15
	142 18
	142 21
	139 22
	135 23
	132 22
	129 21
	126 19
	125 16
	124 13
	123 10
	123 7
	124 4
	126 1
	130 0
	133 0
	136 0
	140 0
	143 0
	148 2
.PEN_UP
.PEN_DOWN
	55 40
	58 40
	63 40
	69 40
	72 40
	76 41
	82 41
	89 41
	92 40
	97 40
	100 40
	103 39
	106 42
.PEN_UP
.PEN_DOWN
	44 8
	47 9
	51 12
	54 14
	57 14
	61 16
	64 18
	67 18
	70 22
	73 25
	75 28
	76 31
	76 34
	74 39
	71 40
	67 40
	64 40
	60 37
	58 33
	57 30
	55 27
	55 24
	55 21
	55 18
	56 15
	57 11
	60 9
	64 8
	67 10
	71 13
	73 16
	76 17
	80 19
	83 22
	87 23
	91 25
	94 28
	97 31
	100 32
	103 32
	105 29
	105 25
	104 21
	100 18
	97 15
	95 12
	92 8
	89 6
	88 3
	91 7
	92 10
	95 12
	98 16
	102 18
	107 21
	110 24
	113 26
	116 28
	119 30
	120 26
	119 23
	119 20
	118 17
	118 13
	118 10
	118 7
	121 6
	124 8
	128 10
	131 12
	134 16
	138 18
	141 22
	144 25
	146 29
	146 32
	149 35
	151 38
	153 41
	154 45
	155 48
	156 51
	157 55
	157 58
	159 61
	161 65
	161 68
	162 71
	161 68
	159 65
	158 62
	156 57
	155 53
	153 49
	152 45
	151 41
	149 37
	149 33
	148 29
	147 26
	146 22
	146 18
	147 13
	147 10
	150 8
	152 5
	155 4
	158 4
	162 6
	164 9
	168 11
	170 14
	173 16
	176 19
	179 23
	182 26
	184 29
	186 33
	185 30
	184 27
	182 24
	181 21
	180 17
	180 14
	179 11
	180 8
	183 5
	186 5
	190 7
	193 9
	196 12
	198 15
	202 18
	204 21
	206 24
	207 28
	210 29
	214 32
	217 32
	220 32
	223 31
	224 28
	223 25
	223 22
	222 19
	221 16
	221 13
	219 10
	218 7
	218 4
	219 1
	222 0
	225 0
	229 0
	234 1
	237 2
	240 4
	243 5
	246 7
	249 9
	252 12
	255 15
	258 19
	261 21
	263 24
	265 27
	267 31
	269 34
	269 37
	266 40
	262 41
	258 41
	255 40
	252 38
	249 34
	249 31
	249 28
	248 25
	248 22
	248 19
	249 16
	251 13
	254 10
	257 8
	260 6
	263 5
	266 4
	271 4
	275 5
	278 8
	281 8
.PEN_UP
.PEN_DOWN
	115 60
	118 60
	121 59
	126 59
	131 58
	134 58
	139 58
	142 58
	145 58
	148 58
	151 58
	154 58
	157 58
	160 57
	163 58
	166 57
	169 56
	171 57
.PEN_UP
.PEN_DOWN
	176 44
	176 41
	178 41
.PEN_UP
.PEN_DOWN
	49 29
	52 31
	55 31
	58 32
	61 31
	63 28
	62 25
	61 22
	58 19
	57 16
	56 13
	55 9
	55 6
	55 3
	59 1
	63 3
	66 5
	69 8
	72 10
	74 13
	77 17
	78 20
	82 23
	82 27
	85 28
	87 32
	89 35
	90 38
	89 35
	88 32
	86 29
	86 26
	84 22
	83 18
	82 14
	82 10
	81 7
	81 4
	82 1
	85 0
	88 1
	91 3
	94 6
	97 10
	100 12
	103 16
	104 19
	107 20
	109 24
	111 28
	112 31
	115 34
	119 36
	123 35
	123 32
	123 29
	123 26
	121 23
	119 18
	116 15
	114 12
	113 9
	111 6
	112 9
	114 12
	117 14
	119 17
	122 21
	125 23
	128 26
	131 30
	133 33
	134 36
	137 38
	140 40
	143 41
	143 38
	142 34
	141 31
	139 28
	138 25
	138 22
	136 19
	136 16
	136 13
	137 10
	140 12
	143 14
	146 16
	149 19
	152 21
	154 24
	157 27
	158 30
	160 33
	162 36
	161 32
	160 29
	159 26
	157 23
	157 20
	157 17
	158 14
	161 12
	164 12
	168 12
	171 13
	174 16
	177 19
	180 22
	183 26
	186 27
	187 30
	190 33
	193 35
	196 34
	197 31
	197 28
	197 25
	196 22
	195 18
	195 15
	195 12
	196 9
	197 6
	200 4
	203 6
	206 8
	207 11
	208 14
	209 17
	210 20
	212 25
	212 28
	212 31
	215 33
	218 33
	220 30
	223 28
	226 27
	229 27
	233 27
	236 28
	239 29
	242 30
	245 33
	248 36
	248 39
	247 42
	243 43
	240 43
	237 42
	234 41
	231 39
	228 36
	227 33
	226 30
	226 27
	226 23
	227 20
	230 18
	233 15
	236 14
	239 14
	243 16
	246 17
	249 20
	252 22
	254 26
	257 28
	260 30
	261 33
	264 36
	268 39
	271 40
	274 40
	278 40
	281 38
	284 35
	284 32
	283 29
	281 26
	279 22
	279 19
	280 16
	282 13
	285 12
	288 12
	291 14
	295 14
	299 17
	303 19
	306 22
	310 25
	312 28
	316 31
	317 34
	320 37
	322 40
	324 43
	326 46
	327 43
	326 40
	326 37
	326 34
	325 31
	323 26
	322 23
	320 20
	319 17
	317 14
	314 11
	311 9
	308 8
	304 8
	301 10
	298 12
	295 16
	294 19
	297 17
	300 15
	303 14
	306 14
	309 13
	313 13
	318 13
	321 14
	324 15
	328 17
	334 20
	337 22
	341 23
	344 24
	347 25
	349 28
	351 31
	351 34
	350 37
	347 38
	344 38
	341 38
	337 36
	334 34
	332 30
	330 27
	329 23
	329 20
	330 16
	331 12
	334 8
	338 7
	341 6
	346 6
	350 6
.PEN_UP
.PEN_DOWN
	161 57
	162 54
	164 51
	168 51
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 22
	39 25
	41 28
	44 30
	47 33
	51 38
	55 40
	58 43
	60 46
	60 43
	59 40
	57 36
	56 33
	55 30
	54 27
	54 24
	57 23
	60 23
	63 23
	66 26
	69 27
	72 31
	75 35
	78 38
	79 43
	82 46
	84 51
	86 56
	89 58
	90 61
	92 64
	93 67
	95 70
	96 75
	98 79
	100 82
	100 85
	100 80
	100 77
	97 74
	97 71
	95 67
	94 62
	93 58
	92 54
	91 50
	91 46
	90 43
	89 39
	89 34
	89 31
	91 27
	94 25
	97 25
	100 26
	103 28
	107 29
	111 32
	115 35
	119 38
	122 41
	125 43
	127 46
	129 50
	131 47
	131 44
	129 40
	128 37
	126 34
	125 31
	121 29
	118 27
	114 27
	110 27
	107 29
	106 32
	107 35
	110 34
	111 31
	114 29
	117 29
	120 29
	124 29
	127 29
	130 29
	133 31
	137 31
	140 33
	143 35
	146 37
	149 40
	150 43
	149 46
	149 49
	147 52
	144 52
	141 51
	140 48
	140 45
	139 42
	139 39
	139 36
	139 33
	142 31
	145 31
	148 31
	151 31
	154 33
	157 33
	161 33
	164 35
	167 36
	170 37
	172 40
	174 43
	176 46
	178 49
	178 53
	181 54
	181 57
	181 60
	182 63
	182 66
	184 69
	184 73
	186 77
	186 80
	188 83
	189 86
	190 89
	186 88
	184 85
	180 81
	178 78
	176 75
	174 72
	172 69
	171 65
	169 61
	168 56
	168 52
	167 48
	167 45
	167 42
	167 39
	170 36
	172 33
	175 32
	178 31
	181 30
	184 30
	188 31
	192 32
	196 34
	200 36
	203 37
	205 40
	211 42
	214 46
	217 49
	221 52
	224 55
	226 59
	229 61
	231 64
	231 67
	233 71
	233 75
	234 79
	234 82
	231 82
	230 79
	227 78
	221 73
	221 70
	216 68
	215 65
	213 62
	211 59
	208 55
	206 52
	201 45
	198 41
	196 36
	193 32
	192 28
	191 25
	190 20
	190 15
	190 12
	191 9
	192 5
	194 2
	197 0
	200 1
	203 3
	205 6
	207 9
	207 13
	207 16
	207 19
	207 22
	206 25
	205 29
	203 32
	201 35
	198 36
	203 37
	206 37
	211 37
	214 37
	217 37
	222 37
	226 37
	229 38
	233 38
	234 40
.PEN_UP
.PEN_DOWN
	45 59
	48 57
	49 54
	51 53
.PEN_UP
.PEN_DOWN
	79 67
	82 67
	86 68
	89 68
	92 68
	98 69
	102 69
	107 70
	110 70
	113 71
	114 71
.PEN_UP
.PEN_DOWN
	32 5
	35 9
	37 12
	40 14
	42 17
	46 22
	50 25
	55 31
	57 36
	61 40
	64 44
	66 48
	68 51
	69 54
	72 57
	74 63
	75 66
	76 70
	77 73
	76 70
	75 66
	74 62
	72 57
	71 54
	69 51
	69 48
	69 45
	68 41
	65 38
	64 31
	62 28
	62 23
	61 20
	60 17
	59 13
	59 9
	59 6
	62 5
	65 6
	70 9
	74 12
	79 15
	82 19
	85 19
	87 22
	90 23
	95 26
	96 29
	94 26
	91 23
	90 20
	89 16
	87 13
	87 10
	87 7
	87 3
	89 0
	93 0
	97 3
	100 3
	103 7
	105 10
	106 13
	106 20
	106 23
	104 26
	101 28
	98 28
	96 25
	95 22
	94 18
	95 15
	98 15
	101 15
	104 16
	108 17
	113 21
	116 22
	119 22
	122 23
	125 24
	129 24
	132 25
	135 25
	138 25
.PEN_UP
.PEN_DOWN
	48 44
	51 43
	55 43
	58 43
	61 43
	67 42
	70 42
	75 42
	78 42
	79 42
.PEN_UP
.PEN_DOWN
	44 33
	41 30
	37 26
	35 23
	34 19
	30 15
	30 12
	28 9
	28 6
	28 3
	30 0
	33 1
	36 1
	39 3
	43 6
	46 9
	49 12
	52 15
	56 18
	58 21
	58 25
	61 27
	63 30
	66 33
	68 36
	71 39
	74 39
	77 39
	80 37
	81 34
	81 31
	81 28
	81 25
	80 22
	79 18
	78 14
	76 11
	76 8
	78 5
	81 4
	84 6
	87 7
	90 8
	93 10
	96 13
	100 16
	102 19
	104 22
	107 24
	107 27
	109 30
	111 33
	113 36
	115 39
	116 36
	115 33
	113 28
	111 24
	110 21
	109 18
	108 15
	108 12
	108 8
	110 5
	113 4
	116 6
	119 7
	121 10
	124 12
	125 15
	128 17
	130 20
	132 23
	134 26
	135 29
	137 32
	139 35
	139 32
	137 29
	136 26
	135 23
	135 19
	135 16
	136 13
	139 12
	142 11
	145 11
	148 11
	152 12
	157 15
	160 17
	163 21
	165 24
	169 27
	172 31
	175 33
	175 30
	175 27
	173 24
	172 20
	170 17
	169 14
	166 11
	162 8
	160 5
	156 3
	151 1
	148 0
	145 0
	143 3
	143 6
	143 9
	146 8
	149 6
	153 4
	156 3
	159 3
	163 3
	167 4
	171 5
	174 6
	178 7
	181 11
	184 13
	188 16
	192 20
	195 23
	196 26
	198 29
	201 33
	203 36
	204 39
	206 43
	209 47
	212 51
	214 54
	215 57
	215 60
	215 63
	215 66
	212 67
	210 64
	207 63
	205 60
	201 57
	200 54
	197 51
	195 47
	192 43
	189 36
	186 34
	185 30
	183 26
	181 22
	181 19
	179 16
	178 12
	176 9
	175 6
	172 5
	173 8
	176 11
	178 14
	181 16
	184 17
	188 19
	192 21
	195 22
	198 24
	201 26
	204 26
	206 22
	206 19
	206 16
	206 13
	206 10
	206 7
	209 5
	212 5
	215 5
	218 5
	222 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	43 25
	40 21
	37 19
	34 17
	32 14
	29 11
	27 7
	25 4
	25 1
	29 1
	33 2
	37 5
	42 8
	45 11
	48 15
	50 20
	53 23
	54 26
	51 24
	51 20
	49 17
	49 13
	49 10
	51 7
	53 4
	56 2
	59 0
	64 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 32
	54 29
	52 26
	49 24
	47 21
	43 17
	40 13
	37 11
	37 7
	34 6
	33 2
	37 0
	42 3
	46 5
	49 9
	52 12
	55 15
	57 20
	58 24
	58 21
	55 18
	55 15
	55 12
	56 9
	58 6
	61 3
	64 1
	67 1
	70 0
	73 0
	77 1
	79 3
.PEN_UP
.PEN_DOWN
	45 53
	42 49
	38 47
	36 43
	33 40
	31 37
	30 33
	33 33
	36 36
	39 39
	42 43
	44 47
	46 50
	49 53
	52 56
	53 60
	54 63
	56 67
	57 73
	58 76
	60 80
	61 83
	62 86
	62 90
	62 94
	63 97
	63 101
	62 97
	61 94
	60 89
	58 84
	57 79
	56 74
	55 70
	55 67
	54 64
	52 60
	51 56
	50 53
	49 50
	48 47
	48 44
	47 41
	47 38
	49 35
	50 32
	53 31
	56 31
	59 34
	62 35
	64 38
	67 41
	69 44
	70 47
	71 50
	72 53
	73 56
	73 59
	75 62
	78 64
	81 64
	84 66
	88 66
	92 67
	94 64
	94 61
	94 58
	92 55
	91 52
	90 49
	89 46
	88 42
	87 39
	87 36
	88 33
	91 34
	95 35
	99 38
	102 41
	105 45
	108 47
	111 51
	112 54
	115 55
	116 59
	117 62
	115 59
	113 55
	112 52
	112 48
	110 45
	109 41
	109 38
	109 35
	110 32
	113 32
	116 35
	119 38
	120 41
	121 44
	121 48
	121 51
	119 54
